0.005|.62|0.85|0.01|0.58|0|0
0.052|0.11|0.01|-0.00|-0.01|0.01|0.00|0.00|0.00|-0.00|0.36|-0.17|-0.57|-0.75|0.00|0.00|0.00|0.00|0.79|-52.24|1.00|-53.56|-21.00|-23.00|27.00|-9.00|0.86|0.02|0.62|0.85|-0.00|0.59|0|0
0.099|0.11|-0.01|-0.01|-0.00|-0.01|0.00|0.00|0.00|-0.00|-0.23|-0.68|-0.63|-1.11|0.00|0.00|0.00|0.00|0.78|-52.28|0.97|-53.61|-21.00|-23.00|27.00|-9.00|0.86|0.02|0.62|0.85|-0.00|0.59|0|0
0.144|0.11|-0.00|0.01|0.01|0.01|0.00|0.00|0.00|-0.00|-0.39|-0.15|-0.33|-0.48|0.00|0.00|0.00|0.00|0.77|-52.28|0.95|-53.63|-21.00|-23.00|27.00|-9.00|0.85|0.02|0.62|0.86|0.00|0.59|0|0
0.19|0.11|0.01|-0.00|0.00|-0.01|0.00|0.00|0.00|-0.00|0.27|-0.21|-0.16|-0.74|0.00|0.00|0.00|0.00|0.78|-52.29|0.95|-53.67|-21.00|-23.00|27.00|-9.00|0.85|0.02|0.62|0.85|-0.00|0.59|0|0
0.234|0.11|-0.00|-0.01|-0.00|0.00|0.00|0.00|0.00|-0.00|0.15|-0.45|-0.35|-0.67|0.00|0.00|0.00|0.00|0.78|-52.31|0.93|-53.70|-21.00|-23.00|27.00|-9.00|0.85|0.02|0.62|0.85|0.00|0.59|0|0
0.279|0.12|-0.01|0.00|-0.01|-0.01|0.00|0.00|0.00|-0.00|-0.24|-0.31|-0.59|-0.91|0.00|0.00|0.00|0.00|0.77|-52.33|0.90|-53.74|-21.00|-23.00|27.00|-9.00|0.86|0.02|0.62|0.85|-0.00|0.60|0|0
0.324|0.10|0.01|0.01|0.00|0.01|0.00|0.00|0.00|-0.00|0.35|-0.02|-0.42|-0.55|0.00|0.00|0.00|0.00|0.79|-52.33|0.88|-53.76|-21.00|-23.00|27.00|-9.00|0.85|0.03|0.62|0.85|0.00|0.59|0|0
0.373|0.11|-0.01|-0.01|0.00|0.00|0.00|0.00|0.00|-0.00|0.09|-0.30|-0.39|-0.50|0.00|0.00|0.00|0.00|0.79|-52.34|0.87|-53.79|-21.00|-23.00|27.00|-9.00|0.86|0.01|0.63|0.85|-0.00|0.60|0|0
0.419|0.12|-0.00|0.01|0.00|-0.01|0.00|0.00|0.00|-0.00|-0.09|-0.04|-0.34|-0.96|0.00|0.00|0.00|0.00|0.79|-52.34|0.85|-53.83|-21.00|-23.00|27.00|-9.00|0.85|0.03|0.62|0.86|0.00|0.58|0|0
0.464|0.11|-0.00|-0.00|0.00|0.01|0.00|0.00|0.00|-0.00|-0.18|-0.25|-0.27|-0.53|0.00|0.00|0.00|0.00|0.78|-52.36|0.84|-53.85|-21.00|-23.00|27.00|-9.00|0.86|0.02|0.62|0.85|-0.00|0.59|0|0
0.509|0.10|0.01|0.01|0.00|-0.01|0.00|0.00|0.00|-0.00|0.32|0.10|-0.25|-0.83|0.00|0.00|0.00|0.00|0.80|-52.35|0.83|-53.89|-21.00|-23.00|27.00|-9.00|0.84|0.02|0.63|0.86|0.01|0.59|0|0
0.554|0.11|-0.01|-0.01|-0.01|0.01|0.00|0.00|0.00|-0.00|0.05|-0.24|-0.52|-0.38|0.00|0.00|0.00|0.00|0.80|-52.36|0.80|-53.91|-21.00|-23.00|27.00|-9.00|0.84|0.02|0.61|0.85|-0.00|0.59|0|0
