,Time,Force,L_pitchAcc,L_yawAcc,R_pitchAcc,R_yawAcc,L_surgeAcc,L_rollAcc,R_surgeAcc,R_rollAcc,L_pitchVel,L_yawVel,R_pitchVel,R_yawVel,L_surgeVel,L_rollVel,R_surgeVel,R_rollVel,L_pitch,L_yaw,R_pitch,R_yaw,L_surge,L_roll,R_surge,R_roll,R_x,R_y,R_z,L_x,L_y,L_z,L_motion,R_motion
10,0.597,0.18,0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-1.20,-1.20,0.29,-0.30,0.64,-0.34,0.00,0.00,0.00,0.00,-1.21,-51.61,-2.45,-53.19,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.02,0.63,0.85,-0.03,0.58,0,0
11,0.647,0.18,-0.01,0.00,-0.01,0.00,-0.00,-0.00,-1.20,-1.20,-0.14,-0.20,0.07,-0.32,0.00,0.00,0.00,0.00,-1.22,-51.62,-2.45,-53.21,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.03,0.63,0.85,-0.03,0.59,0,0
12,0.696,0.19,-0.00,0.00,0.00,0.01,-0.00,-0.00,-1.20,-1.20,-0.15,0.01,0.27,0.30,0.00,0.00,0.00,0.00,-1.23,-51.62,-2.44,-53.19,-512.00,-1115.00,3692199.00,4262580.00,0.84,-0.03,0.64,0.85,-0.03,0.59,0,0
13,0.749,0.16,0.00,-0.00,0.01,-0.02,-0.00,-0.00,-1.20,-1.20,-0.09,-0.24,0.78,-0.69,0.00,0.00,0.00,0.00,-1.23,-51.63,-2.40,-53.23,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.03,0.63,0.85,-0.03,0.58,0,0
14,0.798,0.19,0.00,0.00,0.00,0.01,-0.00,-0.00,-1.20,-1.20,0.10,-0.05,0.86,-0.39,0.00,0.00,0.00,0.00,-1.23,-51.63,-2.36,-53.24,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.03,0.63,0.85,-0.03,0.59,0,0
15,0.848,0.15,-0.00,0.00,-0.01,-0.00,-0.00,-0.00,-1.20,-1.20,0.01,0.02,0.44,-0.43,0.00,0.00,0.00,0.00,-1.23,-51.63,-2.33,-53.27,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.03,0.64,0.86,-0.04,0.59,0,0
16,0.897,0.18,-0.00,0.00,-0.01,0.01,-0.00,-0.00,-1.20,-1.20,-0.03,0.18,0.11,0.08,0.00,0.00,0.00,0.00,-1.23,-51.62,-2.33,-53.26,-512.00,-1115.00,3692199.00,4262580.00,0.84,-0.03,0.64,0.85,-0.03,0.60,0,0
17,0.95,0.19,-0.00,-0.01,0.01,-0.01,-0.00,-0.00,-1.20,-1.20,-0.13,-0.28,0.39,-0.28,0.00,0.00,0.00,0.00,-1.24,-51.63,-2.31,-53.28,-512.00,-1115.00,3692199.00,4262580.00,0.84,-0.03,0.63,0.85,-0.03,0.59,0,0
18,0.999,0.16,0.00,0.00,0.00,0.00,-0.00,-0.00,-1.20,-1.20,-0.03,-0.14,0.48,-0.15,0.00,0.00,0.00,0.00,-1.24,-51.64,-2.28,-53.28,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.03,0.64,0.85,-0.03,0.59,0,0
19,1.052,0.19,-0.00,0.00,0.00,0.00,-0.00,-0.00,-1.20,-1.20,-0.07,-0.14,0.63,-0.04,0.00,0.00,0.00,0.00,-1.24,-51.65,-2.25,-53.29,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.03,0.63,0.85,-0.04,0.59,0,0
20,1.102,0.16,0.00,0.00,-0.00,-0.01,-0.00,-0.00,-1.20,-1.20,-0.01,-0.14,0.51,-0.48,0.00,0.00,650.88,650.88,-1.24,-51.65,-2.23,-53.31,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.64,0.86,-0.04,0.59,0,0
21,1.155,0.19,0.00,-0.00,-0.01,0.01,-0.00,-0.00,-1.28,-1.28,0.03,-0.35,0.25,-0.18,0.00,0.00,0.00,0.00,-1.24,-51.67,-2.21,-53.32,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.62,0.86,-0.03,0.59,0,0
22,1.204,0.13,0.00,0.01,-0.00,0.00,-0.00,-0.00,-1.28,-1.28,0.15,0.09,0.20,-0.07,0.00,0.00,0.00,0.00,-1.23,-51.67,-2.20,-53.32,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.02,0.64,0.86,-0.03,0.59,0,0
23,1.253,0.18,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,-1.28,-1.28,0.08,-0.12,0.18,-0.06,0.00,0.00,0.00,0.00,-1.23,-51.67,-2.19,-53.33,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.64,0.85,-0.04,0.59,0,0
24,1.303,0.19,0.00,-0.00,0.01,-0.01,-0.00,-0.00,-1.28,-1.28,0.23,-0.30,0.89,-0.58,0.00,0.00,0.00,0.00,-1.22,-51.69,-2.15,-53.36,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.02,0.63,0.86,-0.03,0.59,0,0
25,1.356,0.15,-0.00,0.01,-0.01,0.01,-0.00,-0.00,-1.28,-1.28,0.19,0.26,0.47,-0.08,0.00,0.00,0.00,0.00,-1.21,-51.68,-2.12,-53.36,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.04,0.64,0.85,-0.03,0.60,0,0
26,1.404,0.15,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-1.28,-1.28,-0.15,0.07,0.29,-0.26,0.00,0.00,0.00,0.00,-1.21,-51.67,-2.11,-53.37,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.63,0.86,-0.03,0.60,0,0
27,1.454,0.15,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-1.28,-1.28,-0.12,0.01,0.19,-0.01,0.00,0.00,0.00,0.00,-1.22,-51.67,-2.10,-53.37,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.64,0.85,-0.03,0.60,0,0
28,1.507,0.16,-0.00,0.00,0.00,-0.01,-0.00,-0.00,-1.28,-1.28,-0.15,0.25,0.37,-0.55,0.00,0.00,0.00,0.00,-1.23,-51.66,-2.08,-53.40,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.64,0.85,-0.03,0.58,0,0
29,1.556,0.16,0.00,-0.00,0.00,0.01,-0.00,-0.00,-1.28,-1.28,-0.04,0.07,0.54,-0.14,0.00,0.00,0.00,0.00,-1.23,-51.66,-2.05,-53.41,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.04,0.63,0.85,-0.03,0.60,0,0
30,1.606,0.15,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-1.28,-1.28,0.12,0.04,0.46,-0.08,0.00,0.00,0.00,0.00,-1.22,-51.65,-2.03,-53.41,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.64,0.85,-0.03,0.59,0,0
31,1.659,0.16,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-1.28,-1.28,0.02,-0.09,0.19,-0.30,0.00,0.00,0.00,0.00,-1.22,-51.66,-2.02,-53.43,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.64,0.86,-0.04,0.59,0,0
32,1.707,0.16,-0.00,-0.01,-0.00,0.00,-0.00,-0.00,-1.28,-1.28,-0.01,-0.39,0.05,-0.25,0.00,0.00,0.00,0.00,-1.22,-51.68,-2.02,-53.44,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.63,0.86,-0.03,0.59,0,0
33,1.757,0.18,0.00,0.01,0.00,0.00,-0.00,-0.00,-1.28,-1.28,0.11,0.30,0.16,-0.06,0.00,0.00,0.00,0.00,-1.22,-51.66,-2.01,-53.44,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.64,0.85,-0.03,0.59,0,0
34,1.81,0.18,-0.00,-0.01,0.00,0.01,-0.00,-0.00,-1.28,-1.28,-0.05,-0.13,0.40,0.22,0.00,0.00,0.00,0.00,-1.22,-51.67,-1.99,-53.43,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.63,0.85,-0.03,0.59,0,0
35,1.859,0.16,0.00,-0.00,0.00,-0.01,-0.00,-0.00,-1.28,-1.28,0.01,-0.20,0.62,-0.46,0.00,0.00,0.00,0.00,-1.22,-51.68,-1.96,-53.46,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.63,0.85,-0.03,0.60,0,0
36,1.909,0.16,-0.00,0.00,-0.01,0.01,-0.00,-0.00,-1.28,-1.28,-0.00,-0.16,0.19,-0.12,0.00,0.00,0.00,0.00,-1.22,-51.69,-1.95,-53.46,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.63,0.86,-0.03,0.60,0,0
37,1.962,0.18,-0.00,0.00,-0.01,0.00,-0.00,-0.00,-1.28,-1.28,-0.06,-0.13,-0.07,-0.07,0.00,0.00,0.00,0.00,-1.22,-51.69,-1.95,-53.47,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.63,0.85,-0.04,0.59,0,0
38,2.011,0.18,0.00,0.00,0.01,-0.01,-0.00,-0.00,-1.28,-1.28,0.18,0.05,0.25,-0.54,0.00,0.00,0.00,0.00,-1.21,-51.69,-1.94,-53.49,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.63,0.86,-0.03,0.59,0,0
39,2.06,0.16,-0.01,-0.00,0.00,0.01,-0.00,-0.00,-1.28,-1.28,-0.11,-0.13,0.37,0.10,0.00,0.00,0.00,0.00,-1.22,-51.70,-1.92,-53.49,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.64,0.85,-0.04,0.58,0,0
40,2.113,0.15,0.00,0.00,-0.00,-0.01,-0.00,-0.00,-1.28,-1.28,-0.10,0.01,0.36,-0.52,0.00,0.00,0.00,0.00,-1.22,-51.70,-1.90,-53.51,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.04,0.64,0.85,-0.03,0.58,0,0
41,2.162,0.19,0.00,-0.00,-0.00,0.01,-0.00,-0.00,-1.28,-1.28,0.16,-0.22,0.13,-0.06,0.00,0.00,0.00,0.00,-1.22,-51.71,-1.90,-53.52,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.63,0.85,-0.03,0.58,0,0
42,2.215,0.20,-0.01,0.00,-0.00,-0.00,-0.00,-0.00,-1.28,-1.28,-0.30,-0.01,0.09,-0.18,0.00,0.00,0.00,0.00,-1.23,-51.71,-1.89,-53.53,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.63,0.86,-0.03,0.60,0,0
43,2.265,0.18,0.01,-0.01,0.00,0.00,-0.00,-0.00,-1.28,-1.28,0.12,-0.35,0.17,0.07,0.00,0.00,0.00,0.00,-1.23,-51.73,-1.88,-53.52,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.63,0.85,-0.03,0.59,0,0
44,2.314,0.19,-0.00,0.01,0.00,-0.01,-0.00,-0.00,-1.28,-1.28,0.11,-0.06,0.32,-0.48,0.00,0.00,0.00,0.00,-1.22,-51.73,-1.87,-53.55,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.02,0.63,0.85,-0.03,0.59,0,0
45,2.363,0.14,-0.00,0.00,0.00,0.01,-0.00,-0.00,-1.28,-1.28,0.06,-0.01,0.41,0.22,0.00,0.00,0.00,0.00,-1.22,-51.73,-1.85,-53.53,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.63,0.85,-0.03,0.60,0,0
46,2.417,0.16,0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-1.28,-1.28,0.14,-0.02,0.09,-0.24,0.00,0.00,0.00,0.00,-1.21,-51.73,-1.84,-53.55,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.63,0.86,-0.03,0.58,0,0
47,2.465,0.15,-0.00,0.01,0.00,-0.00,-0.00,-0.00,-1.28,-1.28,0.09,0.34,0.09,-0.36,0.00,0.00,0.00,0.00,-1.21,-51.72,-1.84,-53.56,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.64,0.85,-0.04,0.58,0,0
48,2.514,0.15,-0.00,-0.01,0.00,0.01,-0.00,-0.00,-1.28,-1.28,-0.01,-0.21,0.12,0.02,0.00,0.00,0.00,0.00,-1.21,-51.73,-1.83,-53.56,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.63,0.86,-0.03,0.58,0,0
49,2.568,0.18,-0.00,0.01,0.01,-0.01,-0.00,-0.00,-1.28,-1.28,-0.14,0.08,0.44,-0.44,0.00,0.00,0.00,0.00,-1.21,-51.72,-1.81,-53.59,-512.00,-1115.00,3724743.00,4295124.00,0.84,-0.03,0.64,0.85,-0.03,0.59,0,0
50,2.617,0.19,-0.00,-0.00,-0.00,0.01,-0.00,-0.00,-1.28,-1.28,-0.15,0.07,0.38,0.25,0.00,0.00,0.00,0.00,-1.22,-51.72,-1.79,-53.57,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.04,0.63,0.86,-0.03,0.60,0,0
51,2.666,0.19,-0.00,-0.01,-0.00,-0.01,-0.00,-0.00,-1.28,-1.28,-0.16,-0.28,0.16,-0.43,0.00,0.00,0.00,0.00,-1.23,-51.73,-1.78,-53.60,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.02,0.64,0.85,-0.03,0.59,0,0
52,2.72,0.19,0.00,0.00,-0.00,0.01,-0.00,-0.00,-1.28,-1.28,0.00,-0.08,-0.07,0.34,0.00,0.00,0.00,0.00,-1.23,-51.74,-1.79,-53.58,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.64,0.85,-0.03,0.60,0,0
53,2.769,0.19,0.00,0.00,0.01,-0.01,-0.00,-0.00,-1.28,-1.28,0.04,0.08,0.27,-0.33,0.00,0.00,0.00,0.00,-1.23,-51.73,-1.77,-53.59,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.04,0.63,0.86,-0.03,0.59,0,0
54,2.818,0.15,-0.00,0.00,0.00,0.01,-0.00,-0.00,-1.28,-1.28,0.01,0.13,0.43,-0.02,0.00,0.00,0.00,0.00,-1.23,-51.73,-1.75,-53.60,-512.00,-1115.00,3724743.00,4295124.00,0.85,-0.03,0.64,0.85,-0.03,0.59,0,0
55,2.867,0.16,0.10,0.04,-0.01,-0.02,-0.00,-0.00,-1.28,-1.28,5.01,2.07,-0.06,-1.17,0.00,0.02,0.00,0.00,-0.98,-51.62,-1.76,-53.65,-512.00,-1114.00,3724743.00,4295124.00,0.83,-0.17,0.65,0.86,-0.02,0.58,1,0
56,2.92,0.13,-0.11,-0.00,0.03,-0.04,-0.00,0.00,-1.28,-1.28,-0.56,1.84,1.40,-3.40,0.00,1.02,0.00,0.00,-1.00,-51.53,-1.69,-53.82,-512.00,-1063.00,3724743.00,4295124.00,0.85,-0.07,0.63,0.84,-0.02,0.60,1,0
57,2.969,0.19,0.08,-0.06,-0.12,0.08,-0.00,0.00,-1.28,-1.28,3.49,-1.16,-4.70,0.73,0.19,1.08,0.00,0.00,-0.82,-51.59,-1.93,-53.79,-502.00,-1007.00,3724743.00,4295124.00,0.83,-0.03,0.63,0.85,-0.04,0.58,1,1
58,3.018,0.18,0.13,0.02,0.11,0.02,-0.00,-0.00,-1.28,-1.28,10.18,-0.41,0.92,1.48,0.04,0.20,0.00,0.00,-0.31,-51.61,-1.88,-53.71,-500.00,-997.00,3724743.00,4295124.00,0.85,-0.09,0.71,0.84,-0.04,0.60,1,1
59,3.068,0.21,0.23,-0.03,0.09,0.01,-0.00,0.00,-1.28,-1.28,21.61,-1.91,5.37,1.95,0.02,1.00,0.00,0.00,0.75,-51.70,-1.62,-53.62,-499.00,-948.00,3724743.00,4295124.00,0.87,-0.05,0.63,0.77,-0.52,0.62,1,1
60,3.117,0.14,0.23,-0.03,0.22,-0.04,0.00,-0.00,-1.28,-1.28,32.73,-3.57,16.27,-0.25,0.10,0.27,0.00,0.00,2.35,-51.88,-0.82,-53.63,-494.00,-935.00,3724743.00,4295124.00,0.91,0.04,0.63,0.85,-0.07,0.57,1,1
61,3.17,0.13,-0.31,0.06,0.23,0.09,-0.00,-0.00,-1.28,-1.28,17.17,-0.61,27.74,4.43,-0.02,-0.42,0.00,0.00,3.21,-51.91,0.56,-53.41,-495.00,-956.00,3724743.00,4295124.00,0.84,0.02,0.64,0.86,0.09,0.59,1,1
62,3.219,0.13,-0.22,-0.03,-0.64,-0.12,0.00,0.00,-1.28,-1.28,6.08,-2.16,-4.44,-1.71,0.02,-0.38,0.00,0.00,3.51,-52.02,0.34,-53.49,-494.00,-975.00,3724743.00,4295124.00,0.85,0.04,0.63,0.83,-0.02,0.60,1,1
63,3.268,0.14,-0.12,0.06,0.24,-0.03,-0.00,0.00,-1.28,-1.28,-0.05,1.06,7.61,-3.33,0.00,-0.32,-0.02,650.88,3.51,-51.96,0.72,-53.66,-494.00,-991.00,3724742.00,4327668.00,0.84,0.02,0.64,0.84,0.04,0.60,1,0
64,3.317,0.15,0.01,-0.00,0.25,0.19,-0.00,0.00,0.00,0.00,0.34,0.82,20.21,6.15,0.00,-0.24,-0.02,650.88,3.53,-51.92,1.73,-53.35,-494.00,-1003.00,3724741.00,4360212.00,0.85,0.02,0.63,0.82,-0.05,0.61,1,0
65,3.367,0.14,0.21,0.01,-0.13,-0.02,-0.00,0.00,0.00,-1.33,10.83,1.22,14.02,5.11,0.00,-0.16,0.00,0.00,4.06,-51.86,2.42,-53.10,-494.00,-1011.00,3724741.00,4360212.00,0.85,0.03,0.64,0.85,0.13,0.60,1,1
66,3.416,0.14,0.10,-0.06,1.50,0.31,-0.00,0.00,0.00,-1.33,15.65,-1.66,87.42,20.10,0.00,-0.02,0.00,0.00,4.82,-51.95,6.70,-52.12,-494.00,-1012.00,3724741.00,4360212.00,0.85,0.02,0.63,0.81,-0.01,0.58,1,1
67,3.465,0.16,-0.18,0.04,0.13,0.45,-0.00,0.00,0.00,-1.33,6.51,0.24,94.16,42.60,0.00,0.00,0.00,0.00,5.15,-51.93,11.41,-49.99,-494.00,-1012.00,3724741.00,4360212.00,0.86,0.06,0.61,0.80,0.27,0.63,0,1
68,3.514,0.12,-0.04,-0.01,0.25,-0.30,-0.00,0.00,0.00,-1.33,4.66,-0.30,106.44,28.01,-0.04,0.00,0.00,0.00,5.38,-51.95,16.63,-48.61,-496.00,-1012.00,3724741.00,4360212.00,0.85,0.04,0.63,0.87,0.07,0.64,1,1
69,3.567,0.13,-0.14,0.01,-1.66,0.27,0.00,0.00,0.00,-1.33,-2.71,0.18,21.98,41.64,0.04,-0.02,0.00,0.00,5.24,-51.94,17.75,-46.49,-494.00,-1013.00,3724741.00,4360212.00,0.84,0.05,0.63,0.97,0.21,0.51,1,1
70,3.616,0.11,-0.01,-0.02,-0.02,0.24,0.00,-0.00,0.00,-1.33,-3.41,-0.78,20.85,53.49,0.10,-0.04,664.16,664.16,5.07,-51.98,18.77,-43.87,-489.00,-1015.00,3757285.00,4392756.00,0.84,0.04,0.63,0.80,0.24,0.65,1,0
71,3.669,0.15,-0.04,-0.00,0.43,-0.42,-0.00,-0.00,-1.30,-1.30,-5.37,-0.95,42.59,31.99,-0.24,-0.14,0.00,0.00,4.80,-52.03,20.94,-42.24,-501.00,-1022.00,3757285.00,4392756.00,0.86,0.04,0.62,0.71,0.32,0.72,1,1
72,3.719,0.13,0.06,0.01,-0.14,0.12,0.00,-0.00,-1.30,-1.30,-2.10,-0.56,35.55,38.10,-0.14,-0.37,42.06,-1.16,4.69,-52.05,22.75,-40.29,-508.00,-1041.00,3759430.00,4392697.00,0.86,0.02,0.62,0.72,0.33,0.72,1,1
73,3.768,0.11,0.00,0.05,-0.22,-0.07,0.00,-0.00,-0.02,0.00,-2.07,2.05,24.50,34.45,-0.02,-0.54,34.06,-0.88,4.59,-51.95,23.98,-38.57,-509.00,-1068.00,3761133.00,4392653.00,0.85,0.04,0.63,0.72,0.28,0.67,1,1
74,3.817,0.12,0.04,-0.05,0.11,0.21,0.00,-0.00,-0.02,0.00,0.04,-0.30,29.98,45.17,0.04,-0.56,22.76,-0.74,4.59,-51.97,25.48,-36.31,-507.00,-1096.00,3762271.00,4392616.00,0.84,0.01,0.64,0.69,0.33,0.76,1,1
75,3.87,0.14,0.13,-0.01,-0.22,-0.01,-0.00,0.00,1.21,1.26,6.79,-0.73,18.59,44.89,0.02,0.12,642.20,642.20,4.94,-52.00,26.43,-34.02,-506.00,-1090.00,3795023.00,4425368.00,0.85,-0.00,0.61,0.60,0.36,0.74,1,1
76,3.92,0.12,0.01,0.03,-0.34,-0.09,-0.00,-0.00,-1.24,-1.26,7.23,0.59,1.50,40.08,-0.67,-0.53,11.51,-0.53,5.31,-51.97,26.50,-31.98,-540.00,-1117.00,3795610.00,4425341.00,0.85,0.04,0.62,0.62,0.38,0.72,1,1
77,3.972,0.13,-0.13,0.03,-0.27,-0.19,-0.00,-0.00,-0.03,0.00,0.59,2.17,-12.24,30.35,-1.96,-0.62,-2.32,-0.10,5.34,-51.87,25.89,-30.46,-638.00,-1148.00,3795494.00,4425336.00,0.84,0.05,0.63,0.57,0.35,0.77,1,1
78,4.021,0.13,-0.15,-0.04,-0.09,-0.25,0.00,-0.00,-0.01,0.00,-7.16,-0.00,-16.65,17.67,-0.29,-1.00,-9.53,0.06,4.97,-51.87,25.04,-29.56,-653.00,-1199.00,3795008.00,4425339.00,0.85,0.02,0.63,0.57,0.36,0.78,1,1
79,4.071,0.11,0.05,-0.04,0.24,-0.05,0.00,0.00,-0.01,0.00,-4.52,-2.04,-4.52,15.21,-0.16,-0.73,-12.33,0.25,4.74,-51.97,24.81,-28.79,-661.00,-1236.00,3794379.00,4425352.00,0.85,0.05,0.62,0.60,0.26,0.78,1,1
80,4.124,0.10,-0.11,0.04,-0.19,-0.17,0.00,-0.00,1.28,1.25,-10.27,0.15,-14.27,6.39,-0.10,-1.45,638.12,638.12,4.22,-51.96,24.08,-28.46,-666.00,-1310.00,3826923.00,4457896.00,0.85,0.02,0.62,0.55,0.37,0.78,1,0
81,4.174,0.14,0.08,0.05,-0.10,-0.11,0.00,0.00,0.00,0.00,-6.40,2.66,-19.41,0.56,0.37,0.04,638.12,638.12,3.89,-51.83,23.09,-28.43,-647.00,-1308.00,3859467.00,4490440.00,0.93,0.03,0.56,0.53,0.34,0.85,1,0
82,4.227,0.12,0.04,-0.08,-0.03,0.01,0.01,-0.00,-1.30,-1.28,-4.20,-1.44,-21.00,1.24,4.46,-0.14,-13.08,0.28,3.68,-51.90,22.04,-28.37,-424.00,-1315.00,3858813.00,4490454.00,0.88,-0.02,0.61,0.61,0.25,0.84,1,0
83,4.276,0.15,-0.13,0.03,0.34,0.10,-0.01,0.00,0.01,-0.00,-10.66,-0.07,-3.46,6.54,0.02,0.04,-6.98,0.04,3.14,-51.90,21.87,-28.04,-423.00,-1313.00,3858457.00,4490456.00,0.85,0.02,0.61,0.57,0.32,0.80,1,1
84,4.325,0.16,-0.02,0.00,0.18,0.20,-0.00,-0.00,0.01,0.00,-11.48,0.17,5.30,16.23,0.00,-0.04,-3.69,0.20,2.57,-51.89,22.13,-27.24,-423.00,-1315.00,3858276.00,4490466.00,0.85,-0.00,0.64,0.54,0.32,0.82,1,1
85,4.374,0.14,0.05,0.00,-0.09,-0.01,-0.00,0.00,1.31,1.30,-8.96,0.25,1.03,15.48,0.00,0.08,650.88,650.88,2.12,-51.88,22.18,-26.47,-423.00,-1311.00,3890820.00,4523010.00,0.85,-0.00,0.62,0.54,0.34,0.82,1,0
86,4.427,0.16,-0.03,0.01,-0.24,-0.09,-0.00,-0.00,-1.28,-1.28,-10.70,0.52,-11.40,10.97,0.00,0.02,-1.49,0.08,1.58,-51.86,21.60,-25.91,-423.00,-1310.00,3890744.00,4523014.00,0.85,-0.01,0.64,0.51,0.34,0.84,1,1
87,4.476,0.12,0.03,0.01,-0.14,-0.09,-0.00,-0.00,-0.00,-0.00,-8.95,1.08,-18.42,6.18,0.04,0.00,-1.61,-0.04,1.12,-51.80,20.66,-25.59,-421.00,-1310.00,3890662.00,4523012.00,0.84,-0.02,0.64,0.51,0.33,0.85,1,1
