,Time,Force,L_pitchAcc,L_yawAcc,R_pitchAcc,R_yawAcc,L_surgeAcc,L_rollAcc,R_surgeAcc,R_rollAcc,L_pitchVel,L_yawVel,R_pitchVel,R_yawVel,L_surgeVel,L_rollVel,R_surgeVel,R_rollVel,L_pitch,L_yaw,R_pitch,R_yaw,L_surge,L_roll,R_surge,R_roll,R_x,R_y,R_z,L_x,L_y,L_z,L_motion,R_motion
0,0.09,0.19,0.00,0.00,0.00,-0.00,-0.00,-0.00,-1.20,-1.20,0.21,-0.10,0.69,-0.75,0.00,0.00,0.00,0.00,-1.23,-51.49,-2.73,-53.02,-512.00,-1115.00,3692199.00,4262580.00,0.84,-0.03,0.64,0.86,-0.03,0.58,0,0
1,0.143,0.18,-0.00,-0.01,-0.01,0.01,-0.00,-0.00,-1.20,-1.20,-0.00,-0.40,0.30,-0.27,0.00,0.00,0.00,0.00,-1.23,-51.51,-2.72,-53.03,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.03,0.63,0.86,-0.03,0.59,0,0
2,0.192,0.18,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,-1.20,-1.20,-0.12,-0.30,0.29,-0.42,0.00,0.00,0.00,0.00,-1.23,-51.53,-2.70,-53.05,-512.00,-1115.00,3692199.00,4262580.00,0.84,-0.03,0.62,0.85,-0.03,0.58,0,0
3,0.241,0.18,0.00,0.00,0.01,-0.00,-0.00,-0.00,-1.20,-1.20,-0.02,-0.14,0.69,-0.56,0.00,0.00,0.00,0.00,-1.24,-51.53,-2.67,-53.08,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.03,0.63,0.86,-0.03,0.59,0,0
4,0.294,0.19,-0.00,0.00,0.00,0.00,-0.00,-0.00,-1.20,-1.20,-0.05,-0.05,0.82,-0.49,0.00,0.00,0.00,0.00,-1.24,-51.54,-2.62,-53.10,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.03,0.64,0.86,-0.04,0.58,0,0
5,0.344,0.19,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-1.20,-1.20,-0.05,0.03,0.73,-0.60,0.00,0.00,0.00,0.00,-1.24,-51.54,-2.59,-53.13,-512.00,-1115.00,3692199.00,4262580.00,0.84,-0.03,0.64,0.86,-0.03,0.59,0,0
6,0.393,0.18,0.00,-0.01,-0.01,0.01,-0.00,-0.00,-1.20,-1.20,-0.05,-0.42,0.27,-0.10,0.00,0.00,0.00,0.00,-1.24,-51.56,-2.57,-53.14,-512.00,-1115.00,3692199.00,4262580.00,0.84,-0.03,0.63,0.85,-0.03,0.58,0,0
7,0.446,0.16,-0.00,0.00,-0.00,0.00,-0.00,-0.00,-1.20,-1.20,-0.05,-0.21,0.20,-0.04,0.00,0.00,0.00,0.00,-1.25,-51.57,-2.56,-53.14,-512.00,-1115.00,3692199.00,4262580.00,0.84,-0.03,0.63,0.85,-0.04,0.58,0,0
8,0.495,0.18,0.00,-0.00,0.01,-0.01,-0.00,-0.00,-1.20,-1.20,0.15,-0.29,0.59,-0.36,0.00,0.00,0.00,0.00,-1.24,-51.58,-2.53,-53.16,-512.00,-1115.00,3692199.00,4262580.00,0.85,-0.02,0.63,0.85,-0.03,0.59,0,0
9,0.545,0.16,0.00,0.00,0.01,0.00,-0.00,-0.00,-1.20,-1.20,0.20,-0.14,0.94,-0.26,0.00,0.00,0.00,0.00,-1.23,-51.59,-2.49,-53.17,-512.00,-1115.00,3692199.00,4262580.00,0.84,-0.03,0.64,0.85,-0.03,0.60,0,0
