,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_R_pitch,User_task1_R_pitch,Ref_task1_R_yaw,User_task1_R_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_R_surge,User_task1_R_surge,Ref_task1_R_roll,User_task1_R_roll
0,[3.465],[2.291],[0.16],[0.14],[-0.18],[-0.07],[0.04],[-0.01],[0.13],[0.19],[0.45],[0.01],[-0.],[-0.],[0.],[0.],[0.],[-1.25],[-1.33],[-1.25],[6.51],[-0.13],[0.24],[-1.61],[94.16],[8.87],[42.6],[7.83],[0.],[-0.2],[0.],[0.94],[0.],[0.],[0.],[0.],[5.15],[1.51],[-51.93],[-52.29],[11.41],[0.54],[-49.99],[-53.78],[-494.],[124022.],[-1012.],[-4541.],[3724741.],[2073442.],[4360212.],[2785843.]
1,[3.465],[2.34],[0.12],[0.11],[-0.04],[-0.07],[-0.01],[-0.01],[0.25],[1.95],[-0.3],[0.01],[-0.],[0.],[0.],[0.],[0.],[-1.25],[-1.33],[-1.25],[4.66],[3.12],[0.24],[2.99],[106.44],[106.5],[28.01],[40.11],[0.],[0.08],[0.],[0.98],[0.],[0.],[0.],[0.],[5.38],[1.67],[-51.95],[-52.15],[11.41],[5.86],[-49.99],[-51.78],[-496.],[124026.],[-1012.],[-4492.],[3724741.],[2073442.],[4360212.],[2785843.]
2,[3.465],[2.389],[0.12],[0.12],[-0.14],[-0.07],[0.01],[0.09],[0.25],[0.34],[0.27],[0.65],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-1.33],[-1.25],[-2.71],[1.25],[0.24],[0.15],[106.44],[123.14],[41.64],[40.11],[0.],[0.],[0.],[0.41],[0.],[0.],[0.],[0.],[5.24],[1.73],[-51.94],[-52.14],[11.41],[11.9],[-48.61],[-49.23],[-494.],[124026.],[-1013.],[-4472.],[3724741.],[2073442.],[4360212.],[2785843.]
3,[3.465],[2.442],[0.13],[0.13],[-0.01],[0.06],[-0.02],[-0.06],[-1.66],[-0.66],[0.24],[0.24],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-1.33],[-1.25],[-3.41],[-1.76],[-0.3],[-0.2],[106.44],[89.52],[53.49],[52.02],[0.],[0.],[0.],[0.25],[0.],[0.],[0.],[0.],[5.07],[1.64],[-51.98],[-52.15],[16.63],[16.46],[-46.49],[-45.03],[-489.],[124026.],[-1015.],[-4459.],[3757285.],[2073442.],[4392756.],[2785843.]
4,[3.465],[2.491],[0.13],[0.13],[-0.04],[-0.04],[-0.],[-0.01],[-0.02],[0.34],[0.24],[0.6],[-0.],[-0.],[0.],[0.],[-1.3],[-1.25],[-1.3],[-1.25],[-5.37],[-1.76],[0.18],[-0.2],[106.44],[107.03],[53.49],[82.39],[-0.04],[0.],[-0.02],[0.39],[0.],[0.],[0.],[0.],[4.8],[1.71],[-52.03],[-52.18],[17.75],[16.46],[-43.87],[-45.03],[-501.],[124033.],[-1022.],[-4439.],[3757285.],[2073442.],[4392756.],[2785843.]
5,[3.465],[2.54],[0.11],[0.12],[-0.04],[-0.06],[0.01],[-0.01],[0.43],[0.34],[-0.42],[-0.55],[-0.],[-0.],[0.],[0.],[-1.3],[-1.25],[-1.3],[-1.25],[-2.1],[-1.76],[-0.78],[-0.7],[21.98],[65.],[53.49],[54.24],[0.04],[0.],[-0.04],[0.62],[0.],[0.],[0.],[0.],[4.69],[1.76],[-52.05],[-52.16],[18.77],[16.46],[-42.24],[-42.26],[-508.],[124033.],[-1041.],[-4408.],[3759430.],[2073442.],[4392697.],[2785843.]
6,[3.465],[2.594],[0.15],[0.14],[0.06],[0.06],[0.05],[-0.01],[-0.14],[-0.84],[0.12],[0.01],[-0.],[-0.],[0.],[-0.],[-0.02],[-1.25],[0.],[-1.25],[-2.07],[-1.76],[-0.95],[-0.7],[20.85],[42.46],[53.49],[54.91],[0.1],[0.14],[-0.14],[-0.92],[0.],[0.],[0.],[0.],[4.59],[1.77],[-52.05],[-52.14],[20.94],[21.92],[-40.29],[-39.52],[-509.],[123931.],[-1068.],[-4454.],[3761133.],[2073442.],[4392653.],[2785843.]
7,[3.465],[2.643],[0.13],[0.12],[0.],[-0.01],[-0.05],[-0.01],[-0.22],[-0.45],[-0.07],[-0.24],[-0.],[0.],[0.],[0.],[-0.02],[-1.25],[0.],[-1.25],[0.04],[1.47],[-0.56],[-0.7],[42.59],[42.46],[31.99],[42.8],[-0.24],[0.],[-0.14],[-0.12],[0.],[0.],[0.],[0.],[4.59],[1.77],[-52.05],[-52.13],[22.75],[21.92],[-38.57],[-37.38],[-507.],[123930.],[-1096.],[-4460.],[3762271.],[2073442.],[4392616.],[2785843.]
8,[3.465],[2.696],[0.11],[0.12],[0.04],[-0.01],[-0.01],[-0.01],[-0.22],[-0.26],[-0.07],[-0.08],[-0.],[-0.],[0.],[-0.],[1.21],[-1.25],[1.26],[-1.25],[6.79],[1.47],[2.05],[-0.7],[35.55],[29.02],[38.1],[38.92],[-0.14],[0.],[-0.37],[-0.35],[0.],[0.],[0.],[0.],[4.94],[1.77],[-52.05],[-52.14],[23.98],[25.17],[-36.31],[-35.39],[-506.],[123921.],[-1090.],[-4478.],[3795023.],[2073442.],[4425368.],[2785843.]
9,[3.465],[2.746],[0.12],[0.12],[0.13],[-0.01],[0.03],[0.02],[0.11],[-0.01],[0.21],[0.1],[-0.],[0.],[0.],[-0.],[-1.24],[-1.25],[-1.26],[-1.25],[7.23],[1.47],[-0.3],[-0.7],[24.5],[28.27],[34.45],[38.92],[-0.02],[0.],[-0.54],[-0.38],[0.],[0.],[0.],[0.],[5.31],[1.77],[-52.05],[-52.1],[25.48],[25.17],[-34.02],[-33.14],[-540.],[124001.],[-1117.],[-4498.],[3795610.],[2073442.],[4425341.],[2785843.]
10,[3.465],[2.795],[0.14],[0.13],[0.01],[-0.01],[0.03],[0.02],[-0.22],[-0.06],[-0.01],[0.1],[-0.],[-0.],[0.],[0.],[-0.03],[-1.25],[0.],[-1.25],[0.59],[0.88],[-0.73],[-0.7],[29.98],[28.27],[45.17],[44.18],[0.04],[0.],[-0.56],[-0.33],[0.],[0.],[0.],[0.],[5.34],[1.77],[-51.95],[-52.02],[26.43],[27.29],[-31.98],[-31.2],[-638.],[124001.],[-1148.],[-4515.],[3795494.],[2073442.],[4425336.],[2785843.]
11,[3.465],[2.847],[0.12],[0.12],[-0.13],[-0.15],[-0.04],[-0.],[-0.34],[-1.05],[-0.09],[-0.13],[-0.],[-0.],[0.],[0.],[-0.01],[-1.25],[0.],[-1.25],[0.59],[0.31],[0.59],[0.43],[18.59],[25.08],[44.89],[44.18],[0.02],[0.],[0.12],[0.26],[0.],[0.],[0.],[0.],[4.97],[1.77],[-51.97],[-52.02],[26.5],[28.77],[-30.46],[-30.17],[-653.],[123999.],[-1199.],[-4502.],[3795008.],[2073442.],[4425339.],[2785843.]
12,[3.465],[2.897],[0.12],[0.12],[-0.15],[-0.15],[-0.04],[-0.],[-0.27],[-0.17],[-0.19],[-0.13],[-0.],[0.],[0.],[-0.],[-0.01],[-1.25],[0.],[-1.25],[0.59],[-0.15],[2.17],[0.37],[1.5],[-28.29],[40.08],[37.32],[-0.67],[0.],[-0.53],[-0.63],[0.],[0.],[0.],[0.],[4.74],[1.77],[-52.],[-52.01],[26.5],[30.22],[-29.56],[-29.93],[-661.],[124000.],[-1236.],[-4534.],[3794379.],[2073442.],[4425352.],[2785843.]
13,[3.465],[2.95],[0.12],[0.12],[0.05],[0.31],[0.04],[-0.],[-0.09],[0.04],[-0.25],[-0.34],[-0.],[-0.],[0.],[0.],[1.28],[-1.25],[1.25],[-1.25],[0.59],[-0.63],[-0.],[0.36],[-12.24],[-36.76],[30.35],[37.32],[-1.96],[-2.04],[-0.53],[-0.54],[0.],[0.],[0.],[0.],[4.22],[1.77],[-51.97],[-52.01],[26.5],[31.52],[-29.56],[-29.71],[-666.],[123999.],[-1310.],[-4561.],[3826923.],[2073442.],[4457896.],[2785843.]
14,[3.465],[2.999],[0.12],[0.12],[-0.11],[-0.17],[0.05],[-0.],[0.24],[0.14],[-0.25],[-0.31],[-0.],[-0.],[0.],[0.],[0.],[-1.25],[0.],[-1.25],[-7.16],[-8.55],[-2.04],[-0.3],[-16.65],[-34.52],[17.67],[20.21],[-0.29],[-0.02],[-0.62],[-0.38],[0.],[0.],[0.],[0.],[3.89],[1.77],[-51.87],[-52.01],[26.5],[30.08],[-29.56],[-29.48],[-647.],[123991.],[-1308.],[-4581.],[3859467.],[2073442.],[4490440.],[2785843.]
15,[3.465],[3.049],[0.12],[0.11],[0.08],[-0.01],[-0.08],[-0.],[0.24],[0.15],[-0.05],[-0.01],[-0.],[0.],[0.],[-0.],[-1.3],[-1.25],[-1.28],[-1.25],[-4.52],[-8.55],[0.15],[0.8],[-16.65],[-27.4],[15.21],[20.21],[-0.16],[-0.18],[-1.],[-1.02],[0.],[0.],[0.],[0.],[3.68],[1.77],[-51.87],[-52.01],[26.5],[28.24],[-29.56],[-29.49],[-424.],[124000.],[-1315.],[-4633.],[3858813.],[2073442.],[4490454.],[2785843.]
16,[3.465],[3.102],[0.13],[0.13],[0.04],[-0.01],[0.03],[-0.],[-0.19],[0.03],[-0.05],[0.01],[-0.],[-0.],[0.],[0.],[0.01],[-1.25],[-0.],[-1.25],[-10.27],[-8.55],[2.66],[1.63],[-16.65],[-19.73],[6.39],[4.81],[-0.1],[-0.18],[-0.73],[-0.7],[0.],[0.],[0.],[0.],[3.14],[1.77],[-51.97],[-52.01],[25.89],[26.48],[-29.56],[-29.4],[-423.],[124006.],[-1313.],[-4668.],[3858457.],[2073442.],[4490456.],[2785843.]
17,[3.465],[3.151],[0.13],[0.13],[-0.13],[-0.01],[0.],[-0.],[-0.1],[0.14],[-0.17],[-0.1],[-0.],[-0.],[0.],[0.],[0.01],[-1.25],[0.],[-1.25],[-6.4],[-8.55],[-1.44],[-0.15],[-16.65],[-18.28],[6.39],[4.27],[0.37],[-0.18],[-1.45],[-0.7],[0.],[0.],[0.],[0.],[2.57],[1.76],[-51.96],[-52.01],[25.04],[25.11],[-28.79],[-29.03],[-423.],[124006.],[-1315.],[-4685.],[3858276.],[2073442.],[4490466.],[2785843.]
18,[3.465],[3.2],[0.13],[0.13],[-0.02],[-0.01],[0.],[-0.],[-0.03],[-0.03],[-0.11],[-0.1],[-0.],[-0.],[0.],[0.],[1.31],[-1.25],[1.3],[-1.25],[-4.2],[-8.55],[-0.07],[-0.15],[-4.52],[-11.28],[6.39],[4.67],[4.46],[1.54],[0.04],[-0.34],[664.16],[0.],[664.16],[0.],[2.12],[1.73],[-51.83],[-52.01],[24.81],[25.11],[-28.79],[-28.84],[-423.],[124004.],[-1311.],[-4699.],[3890820.],[2073442.],[4523010.],[2785843.]
19,[3.465],[3.253],[0.13],[0.12],[0.05],[0.04],[0.01],[-0.],[0.34],[0.14],[0.01],[0.04],[-0.],[0.],[0.],[0.],[-1.28],[-1.25],[-1.28],[-1.25],[-10.66],[-8.55],[0.17],[0.19],[-14.27],[-12.77],[0.56],[-0.33],[0.02],[0.],[-0.14],[-0.28],[0.],[0.],[0.],[0.],[1.58],[1.29],[-51.9],[-52.01],[24.08],[24.08],[-28.46],[-28.55],[-423.],[124003.],[-1310.],[-4704.],[3890744.],[2073442.],[4523014.],[2785843.]
20,[3.465],[3.302],[0.13],[0.14],[-0.03],[0.04],[0.01],[-0.],[0.18],[0.05],[0.1],[0.11],[-0.],[0.],[0.],[0.],[-0.],[-1.25],[-0.],[-1.25],[-11.48],[-8.55],[0.25],[0.19],[-19.41],[-12.77],[1.24],[1.83],[0.],[0.],[-0.14],[-0.1],[0.],[0.],[0.],[0.],[1.58],[1.65],[-51.9],[-52.01],[23.09],[23.15],[-28.46],[-28.54],[-421.],[124003.],[-1310.],[-4706.],[3890662.],[2073442.],[4523012.],[2785843.]
21,[3.465],[3.352],[0.11],[0.09],[0.03],[0.04],[-0.01],[-0.01],[-0.09],[-0.01],[0.2],[0.11],[-0.],[0.],[0.],[0.],[1.31],[-1.25],[1.31],[-1.25],[-8.96],[-8.55],[0.52],[0.19],[-21.],[-12.77],[6.54],[7.35],[0.],[-0.04],[0.04],[-0.04],[0.],[0.],[0.],[0.],[1.58],[1.57],[-51.89],[-52.01],[22.04],[22.59],[-28.46],[-28.61],[-420.],[124003.],[-1308.],[-4707.],[3923414.],[2073442.],[4555764.],[2785843.]
22,[3.465],[3.401],[0.1],[0.1],[0.05],[0.04],[-0.01],[-0.01],[-0.09],[0.01],[-0.01],[-0.07],[-0.],[0.],[0.],[0.],[-1.29],[-1.25],[-1.28],[-1.25],[-10.7],[-8.55],[1.08],[0.19],[-3.46],[-5.54],[16.23],[7.35],[0.],[0.02],[-0.04],[-0.04],[42.06],[0.],[-1.16],[0.],[1.58],[1.46],[-51.88],[-52.01],[21.87],[21.95],[-28.46],[-28.62],[-427.],[124003.],[-1311.],[-4707.],[3923265.],[2073442.],[4555759.],[2785843.]
23,[3.465],[3.454],[0.14],[0.14],[0.03],[0.04],[0.02],[0.02],[-0.09],[-0.01],[-0.01],[0.04],[-0.],[0.],[0.],[0.],[0.01],[-1.25],[0.],[-1.25],[-8.95],[-8.55],[0.34],[0.1],[-3.46],[-2.86],[15.48],[7.35],[0.],[-0.02],[-0.04],[-0.02],[34.06],[0.],[-0.88],[0.],[1.12],[1.34],[-51.86],[-52.01],[22.13],[21.95],[-28.43],[-28.51],[-428.],[124003.],[-1312.],[-4707.],[3923265.],[2073442.],[4555759.],[2785843.]
24,[3.514],[3.503],[0.14],[0.15],[-0.02],[0.04],[0.02],[0.02],[-0.09],[-0.08],[-0.09],[-0.11],[-0.],[0.],[0.],[0.],[0.01],[-1.25],[0.],[-1.25],[-6.23],[-8.55],[-0.25],[-0.4],[-3.46],[-3.61],[10.97],[7.35],[0.],[-0.15],[0.08],[0.],[22.76],[0.],[-0.74],[0.],[1.12],[1.32],[-51.8],[-52.01],[22.18],[21.95],[-28.37],[-28.34],[-428.],[124003.],[-1315.],[-4707.],[3923229.],[2073442.],[4555758.],[2785843.]
25,[3.567],[3.553],[0.12],[0.1],[0.1],[0.04],[-0.01],[0.02],[-0.09],[-0.09],[-0.09],[-0.11],[-0.],[0.],[0.],[0.],[0.],[-1.25],[0.],[-1.25],[-4.54],[-8.55],[-0.25],[-0.25],[5.3],[-3.16],[6.18],[3.88],[0.],[0.18],[0.02],[0.],[642.2],[0.],[642.2],[0.],[1.12],[1.16],[-51.78],[-52.01],[21.6],[21.67],[-28.04],[-28.09],[-428.],[124002.],[-1317.],[-4705.],[3923227.],[2073442.],[4555757.],[2785843.]
26,[3.616],[3.601],[0.12],[0.11],[0.08],[0.04],[0.01],[0.02],[-0.24],[-0.09],[-0.11],[-0.11],[-0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[-5.66],[-8.55],[-0.25],[-0.5],[1.03],[-3.65],[6.18],[5.81],[0.],[0.12],[0.02],[0.],[11.51],[0.],[-0.53],[0.],[0.81],[1.07],[-51.8],[-52.01],[21.6],[21.52],[-28.04],[-27.68],[-415.],[123997.],[-1336.],[-4705.],[3923220.],[2073442.],[4555760.],[2785843.]
27,[3.669],[3.654],[0.12],[0.13],[0.16],[0.04],[-0.06],[-0.04],[-0.14],[-0.09],[-0.05],[-0.03],[-0.],[0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[-0.86],[-8.55],[0.67],[0.49],[-11.4],[-7.52],[0.86],[0.18],[0.],[0.],[0.02],[0.04],[-2.32],[0.],[-0.1],[0.],[0.58],[1.07],[-51.76],[-52.01],[21.6],[21.34],[-27.24],[-27.44],[-370.],[123996.],[-1321.],[-4705.],[3923182.],[2073442.],[4555761.],[2785843.]
28,[3.719],[3.704],[0.12],[0.12],[-0.06],[-0.06],[0.03],[0.01],[0.11],[0.03],[0.01],[0.02],[-0.],[-0.],[0.],[-0.],[-0.],[-1.25],[0.],[-1.25],[2.92],[7.01],[0.18],[0.12],[-18.42],[-11.86],[-1.51],[-1.41],[0.],[-0.04],[0.02],[0.],[-9.53],[0.],[0.06],[0.],[0.29],[1.07],[-51.75],[-52.01],[21.6],[21.18],[-27.24],[-27.35],[-368.],[123994.],[-1318.],[-4705.],[3923101.],[2073442.],[4555763.],[2785843.]
29,[3.768],[3.753],[0.12],[0.12],[-0.14],[-0.06],[-0.02],[-0.],[-0.],[0.01],[0.06],[0.05],[-0.],[0.],[0.],[-0.],[1.31],[-1.25],[1.3],[-1.25],[10.63],[7.01],[0.53],[-0.14],[-13.06],[-11.86],[-1.1],[-0.19],[0.],[-0.02],[0.02],[0.],[-12.33],[0.],[0.25],[0.],[0.24],[1.07],[-51.73],[-52.01],[20.66],[21.],[-27.24],[-27.39],[-367.],[123994.],[-1318.],[-4705.],[3955645.],[2073442.],[4588307.],[2785843.]
30,[3.817],[3.806],[0.12],[0.13],[-0.05],[-0.06],[0.03],[-0.],[-0.],[0.01],[0.05],[0.05],[-0.],[0.],[0.],[-0.],[-1.28],[-1.25],[-0.03],[-1.25],[7.82],[-1.58],[-2.22],[-0.47],[-13.15],[-11.86],[2.08],[2.23],[0.],[0.],[0.02],[0.],[638.12],[0.],[638.12],[0.],[0.39],[1.07],[-51.83],[-52.01],[20.66],[20.63],[-27.24],[-27.27],[-367.],[123994.],[-1331.],[-4705.],[3955644.],[2073442.],[4620851.],[2785843.]
31,[3.87],[3.855],[0.12],[0.1],[0.01],[0.03],[-0.01],[-0.01],[-0.],[0.],[0.01],[0.02],[-0.],[0.],[0.],[-0.],[-0.],[-1.25],[-1.23],[-1.25],[0.93],[-2.11],[-0.51],[-0.43],[-14.7],[-11.86],[4.46],[3.32],[0.],[0.],[0.02],[0.],[638.12],[0.],[638.12],[0.],[0.91],[1.07],[-51.86],[-52.01],[20.],[20.04],[-27.24],[-27.01],[-367.],[123994.],[-1340.],[-4705.],[3955521.],[2073442.],[4620861.],[2785843.]
32,[3.92],[3.904],[0.12],[0.14],[0.01],[0.01],[0.01],[0.],[-0.03],[0.],[-0.05],[0.02],[-0.],[0.],[0.],[-0.],[-0.],[-1.25],[-0.],[-1.25],[-1.68],[-2.42],[-0.51],[-0.3],[-15.53],[-11.86],[4.46],[5.09],[0.],[0.],[0.02],[0.],[-13.08],[0.],[0.28],[0.],[1.3],[1.07],[-51.93],[-52.01],[19.33],[19.51],[-26.47],[-26.68],[-367.],[123994.],[-1350.],[-4705.],[3955332.],[2073442.],[4620858.],[2785843.]
33,[3.972],[3.954],[0.12],[0.14],[-0.02],[-0.],[-0.02],[-0.01],[-0.02],[0.],[0.],[0.04],[-0.],[0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[-0.92],[-0.26],[-0.51],[-0.24],[-12.7],[-11.86],[4.46],[8.07],[0.],[0.],[0.02],[0.],[-6.98],[0.],[0.04],[0.],[1.35],[1.07],[-51.94],[-52.01],[19.33],[19.02],[-26.47],[-26.37],[-368.],[123994.],[-1350.],[-4705.],[3955180.],[2073442.],[4620857.],[2785843.]
34,[4.021],[4.007],[0.12],[0.1],[0.03],[0.02],[-0.01],[-0.01],[0.06],[0.04],[0.01],[0.06],[-0.],[0.],[0.],[-0.],[1.31],[-1.25],[1.3],[-1.25],[-2.12],[-3.15],[-1.47],[-0.49],[-10.75],[-10.41],[4.46],[4.87],[0.],[0.],[0.02],[0.],[-3.69],[0.],[0.2],[0.],[1.26],[1.07],[-51.96],[-52.01],[18.57],[18.56],[-25.91],[-25.96],[-365.],[123994.],[-1343.],[-4705.],[3987724.],[2073442.],[4653401.],[2785843.]
35,[4.071],[4.056],[0.12],[0.13],[-0.02],[0.01],[0.01],[0.02],[0.04],[0.04],[-0.07],[-0.06],[-0.],[0.],[0.],[-0.],[-1.31],[-1.25],[-1.3],[-1.25],[-2.12],[-1.89],[-0.08],[0.24],[-10.75],[-9.84],[4.46],[1.76],[0.],[0.],[0.02],[0.],[650.88],[0.],[650.88],[0.],[1.22],[1.07],[-51.95],[-52.01],[17.79],[18.1],[-25.59],[-25.53],[-366.],[123989.],[-1338.],[-4705.],[3987643.],[2073442.],[4653400.],[2785843.]
36,[4.124],[4.105],[0.12],[0.12],[0.02],[0.01],[-0.],[-0.01],[0.04],[0.01],[-0.07],[-0.06],[-0.],[0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-0.4],[-1.21],[-0.08],[-0.12],[-10.75],[-9.33],[4.46],[-0.68],[0.],[0.],[0.02],[0.],[-1.49],[0.],[0.08],[0.],[1.11],[1.07],[-51.97],[-52.01],[17.79],[17.74],[-25.55],[-25.53],[-364.],[124000.],[-1338.],[-4706.],[3987610.],[2073442.],[4653398.],[2785843.]
37,[4.174],[4.154],[0.12],[0.12],[-0.01],[0.],[-0.01],[-0.01],[0.04],[0.03],[-0.11],[-0.05],[-0.],[-0.],[0.],[0.],[-0.],[-1.25],[-0.],[-1.25],[-1.39],[-1.37],[-0.41],[-0.29],[-11.61],[-9.08],[4.46],[2.28],[0.04],[0.],[0.02],[0.],[-1.61],[0.],[-0.04],[0.],[1.09],[1.07],[-52.01],[-52.01],[17.16],[17.4],[-25.63],[-25.53],[-363.],[124000.],[-1341.],[-4706.],[3987547.],[2073442.],[4653394.],[2785843.]
38,[4.227],[4.204],[0.15],[0.14],[-0.01],[0.],[-0.01],[-0.01],[-0.02],[-0.05],[0.06],[0.06],[-0.],[-0.],[0.],[0.],[0.],[-1.25],[0.],[-1.25],[-0.29],[-0.59],[0.23],[0.41],[-6.37],[-7.05],[5.02],[5.02],[0.02],[-0.02],[0.],[-0.02],[655.04],[0.],[655.04],[0.],[1.02],[1.01],[-52.03],[-52.03],[17.16],[17.15],[-25.68],[-25.53],[-360.],[124000.],[-1332.],[-4705.],[3987499.],[2073442.],[4653394.],[2785843.]
39,[4.276],[4.257],[0.15],[0.14],[0.01],[0.],[-0.01],[-0.01],[0.1],[0.05],[0.06],[0.06],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[-0.71],[-0.59],[-0.53],[-0.06],[-6.73],[-6.71],[5.02],[6.67],[-0.14],[-0.1],[0.],[0.],[-2.92],[0.],[-0.1],[0.],[1.],[1.01],[-52.05],[-52.04],[16.63],[16.79],[-25.58],[-25.53],[-360.],[124000.],[-1332.],[-4705.],[3987477.],[2073442.],[4653397.],[2785843.]
40,[4.325],[4.306],[0.16],[0.14],[0.01],[-0.],[0.],[0.],[-0.01],[0.01],[0.06],[0.05],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-1.22],[-0.18],[-0.8],[-0.86],[-6.73],[-5.08],[5.02],[6.35],[-0.02],[-0.02],[0.04],[0.02],[0.],[0.],[0.],[0.],[0.97],[0.94],[-52.05],[-52.07],[16.63],[16.56],[-25.36],[-25.39],[-360.],[124000.],[-1332.],[-4705.],[3987476.],[2073442.],[4653397.],[2785843.]
41,[4.374],[4.359],[0.14],[0.13],[-0.],[-0.],[0.],[0.],[-0.04],[0.],[0.02],[0.03],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-0.71],[-0.04],[-0.36],[-0.15],[-8.98],[-7.29],[5.02],[7.92],[-0.02],[-0.04],[-0.06],[0.],[0.],[0.],[0.],[0.],[0.9],[0.91],[-52.05],[-52.04],[16.63],[16.36],[-25.11],[-25.39],[-360.],[124000.],[-1332.],[-4706.],[3987476.],[2073442.],[4653397.],[2785843.]
42,[4.427],[4.409],[0.14],[0.13],[0.01],[-0.],[0.],[0.],[0.04],[0.08],[0.],[-0.01],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-0.],[-1.25],[-0.4],[0.17],[-0.45],[-0.47],[-6.85],[-7.29],[5.02],[8.91],[0.],[0.],[-0.02],[0.],[-0.72],[0.],[-0.02],[0.],[0.9],[0.9],[-52.05],[-52.04],[16.05],[16.17],[-24.99],[-25.39],[-360.],[124000.],[-1332.],[-4712.],[3987478.],[2073442.],[4653395.],[2785843.]
43,[4.476],[4.461],[0.14],[0.13],[-0.01],[-0.],[-0.],[0.],[0.11],[0.08],[0.],[0.03],[-0.],[-0.],[0.],[0.],[0.],[-1.25],[0.],[-1.25],[-0.55],[0.38],[-0.45],[-0.27],[-1.3],[-4.55],[2.47],[2.76],[0.],[0.],[-0.02],[-0.02],[-0.04],[0.],[-0.02],[0.],[0.9],[0.9],[-52.05],[-52.04],[16.05],[16.19],[-24.86],[-25.39],[-360.],[124000.],[-1332.],[-4713.],[3987511.],[2073442.],[4653395.],[2785843.]
44,[4.53],[4.51],[0.16],[0.15],[0.],[-0.],[-0.],[-0.01],[0.],[0.02],[-0.02],[0.02],[-0.],[-0.],[0.],[0.],[0.],[-1.25],[0.],[-1.25],[-0.16],[0.28],[-0.45],[-0.17],[-1.08],[-3.95],[2.53],[2.76],[0.],[0.],[-0.06],[-0.02],[-0.14],[0.],[0.06],[0.],[0.9],[0.91],[-52.09],[-52.07],[16.05],[16.27],[-24.71],[-25.39],[-360.],[124000.],[-1332.],[-4713.],[3987611.],[2073442.],[4653393.],[2785843.]
45,[4.579],[4.56],[0.12],[0.13],[-0.],[-0.],[0.01],[0.01],[-0.04],[-0.05],[-0.05],[-0.12],[-0.],[-0.],[0.],[0.],[0.],[-1.25],[0.],[-1.25],[-0.71],[-0.33],[-0.73],[-0.82],[-3.03],[-3.89],[3.06],[2.76],[0.],[0.],[-0.04],[-0.02],[-0.76],[0.],[0.02],[0.],[0.9],[0.92],[-52.09],[-52.09],[16.05],[16.23],[-24.72],[-25.39],[-360.],[123999.],[-1332.],[-4713.],[3987826.],[2073442.],[4653392.],[2785843.]
46,[4.632],[4.609],[0.13],[0.13],[0.01],[-0.],[-0.01],[-0.01],[-0.04],[0.01],[-0.05],[-0.09],[-0.],[0.],[0.],[0.],[0.],[-1.25],[0.],[-1.25],[-0.56],[-0.33],[-0.6],[-0.67],[-4.28],[-3.89],[-0.27],[-1.97],[0.],[0.],[-0.39],[-0.02],[-1.62],[0.],[0.04],[0.],[0.9],[0.94],[-52.09],[-52.1],[16.05],[16.22],[-25.04],[-25.39],[-360.],[124000.],[-1332.],[-4708.],[3988146.],[2073442.],[4653392.],[2785843.]
47,[4.682],[4.658],[0.13],[0.13],[0.01],[-0.],[0.01],[-0.],[-0.04],[-0.07],[0.02],[0.01],[-0.],[0.],[0.],[-0.],[0.],[-1.25],[0.],[-1.25],[-0.7],[-0.33],[-0.81],[-0.67],[-4.56],[-3.89],[-6.2],[-1.97],[0.],[0.],[0.3],[-0.02],[650.88],[0.],[650.88],[0.],[0.9],[0.92],[-52.12],[-52.12],[16.05],[16.03],[-25.2],[-25.39],[-360.],[124003.],[-1332.],[-4704.],[3988476.],[2073442.],[4653392.],[2785843.]
