,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_R_pitch,User_task1_R_pitch,Ref_task1_R_yaw,User_task1_R_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_R_surge,User_task1_R_surge,Ref_task1_R_roll,User_task1_R_roll
598,,,[0.13],[0.14],,,,,,,,,[0.01],[0.01],[-0.],[0.],,,,,,,,,,,,,[12.52],[18.47],[-1.02],[-0.63],,,[-0.02],[0.],,,[-26.23],[-26.44],[3.96],[3.89],,,,,,,,,,
599,,,[0.13],[0.13],,,,,,,,,[0.01],[-0.01],[-0.],[0.],,,,,,,,,,,,,[12.52],[8.73],[-0.76],[-0.8],,,[0.],[0.],,,[-26.72],[-26.44],[3.91],[3.89],,,,,,,,,,
600,,,[0.13],[0.09],,,,,,,,,[0.01],[-0.],[-0.],[0.],,,,,,,,,,,,,[3.71],[4.22],[-1.24],[-0.8],,,[0.],[0.],,,[-28.16],[-27.65],[3.92],[3.89],,,,,,,,,,
601,,,[0.13],[0.12],,,,,,,,,[0.01],[0.01],[-0.],[0.],,,,,,,,,,,,,[3.29],[4.22],[-1.12],[-0.8],,,[0.],[0.],,,[-28.16],[-29.27],[3.98],[3.97],,,,,,,,,,
602,,,[0.13],[0.13],,,,,,,,,[0.01],[0.02],[-0.],[-0.],,,,,,,,,,,,,[1.96],[1.08],[-1.],[-0.8],,,[0.],[0.],,,,,[4.04],[4.08],,,,,,,,,,
603,,,[0.13],[0.12],,,,,,,,,[0.01],[0.01],[-0.],[0.01],,,,,,,,,,,,,[1.96],[0.7],[-0.78],[-0.8],,,[-0.22],[0.],,,,,[4.1],[4.08],,,,,,,,,,
604,,,[0.13],[0.11],,,,,,,,,[0.01],[0.01],[-0.],[-0.],,,,,,,,,,,,,[1.96],[2.34],[-0.3],[0.15],,,[-0.04],[0.],,,,,[3.97],[4.08],,,,,,,,,,
605,,,[0.13],[0.12],,,,,,,,,[0.],[-0.01],[-0.],[-0.01],,,,,,,,,,,,,[5.48],[7.75],[0.04],[0.15],,,,,,,,,[4.02],[4.08],,,,,,,,,,
606,,,[0.13],[0.13],,,,,,,,,[0.],[-0.03],[-0.],[0.],,,,,,,,,,,,,[10.68],[13.78],[-0.12],[0.15],,,,,,,,,[4.11],[4.08],,,,,,,,,,
607,,,[0.13],[0.15],,,,,,,,,[0.],[-0.02],[-0.],[0.],,,,,,,,,,,,,[17.06],[16.35],[-0.02],[0.15],,,,,,,,,[4.24],[4.22],,,,,,,,,,
608,,,[0.13],[0.12],,,,,,,,,[0.],[-0.01],[-0.],[-0.],,,,,,,,,,,,,[16.04],[15.28],[0.],[0.15],,,,,,,,,[4.35],[4.22],,,,,,,,,,
609,,,[0.13],[0.13],,,,,,,,,[0.],[-0.],[-0.],[-0.],,,,,,,,,,,,,[16.04],[9.78],[-0.08],[0.15],,,,,,,,,[4.47],[4.22],,,,,,,,,,
610,,,[0.13],[0.13],,,,,,,,,[0.],[-0.],[-0.],[0.],,,,,,,,,,,,,[3.02],[6.88],[0.04],[0.15],,,,,,,,,[4.59],[4.83],,,,,,,,,,
