,Unnamed: 0,Time,Force,L_pitchAcc,L_yawAcc,L_surgeAcc,L_rollAcc,L_pitchVel,L_yawVel,L_surgeVel,L_rollVel,L_pitch,L_yaw,L_surge,L_roll,L_x,L_y,L_z,L_motion,R_pitchAcc,R_yawAcc,R_surgeAcc,R_rollAcc,R_pitchVel,R_yawVel,R_surgeVel,R_rollVel,R_pitch,R_yaw,R_surge,R_roll,R_x,R_y,R_z,R_motion
813,813,50.02340483665466,0.0,-0.0,-0.08,0.03,0.02,0.13,0.0,-0.09,0.01,-7.06,0.14,-3.55,-1.17,24.48,0.11,11.81,-0.24,-13.49,-14.67,14.23,-17.48,-7293.0,103.0,-12382.0,-1581.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
814,814,50.08528327941895,0.0,-0.03,-0.05,-0.06,0.04,-0.02,-0.0,-0.22,0.0,-9.04,-2.6,-7.24,1.06,23.4,0.03,-1.28,-0.2,-14.04,-14.83,13.8,-17.41,-5889.0,105.0,-12459.0,-1593.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
815,815,50.14613938331604,0.0,-0.21,0.13,-0.17,0.02,0.02,0.0,-0.42,0.02,-22.09,5.44,-17.81,2.11,24.63,0.11,-27.87,0.94,-15.43,-14.49,12.68,-17.28,-4337.0,112.0,-14215.0,-1534.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
816,816,50.20791244506836,0.0,0.09,0.14,0.15,-0.1,-0.33,-0.0,-0.19,-0.0,-16.54,14.03,-8.85,-3.79,4.36,-0.07,-39.28,0.64,-16.44,-13.63,12.14,-17.51,-4071.0,108.0,-16611.0,-1495.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
817,817,50.26889157295227,0.0,0.2,-0.03,0.16,0.13,0.12,-0.0,0.09,0.0,-3.87,12.25,1.25,3.99,11.73,-0.24,-33.98,0.77,-16.68,-12.87,12.22,-17.26,-3344.0,93.0,-18718.0,-1447.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
818,818,50.33058738708496,0.0,-0.03,-0.1,0.09,0.03,-0.05,0.0,0.29,-0.01,-5.94,6.34,6.62,5.68,8.66,0.05,-16.41,0.15,-17.04,-12.49,12.62,-16.92,-2816.0,96.0,-19719.0,-1438.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
819,819,50.39148950576782,0.0,0.07,0.0,-0.32,-0.03,0.03,0.0,0.0,-0.01,-1.92,6.45,-12.35,3.73,10.63,0.12,-16.37,-0.3,-17.15,-12.1,11.88,-16.69,-2178.0,103.0,-20701.0,-1456.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
820,820,50.45330858230591,0.0,0.07,-0.05,0.0,0.01,0.05,0.0,-0.28,0.02,2.24,3.12,-12.21,4.54,13.89,0.16,-33.74,0.98,-17.02,-11.9,11.12,-16.41,-1317.0,113.0,-22793.0,-1395.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
821,821,50.514185428619385,0.0,-0.2,0.03,0.21,-0.04,0.06,-0.0,-0.16,-0.01,-9.57,4.92,0.51,1.85,17.4,0.08,-43.27,0.67,-17.59,-11.61,11.15,-16.3,-273.0,118.0,-25389.0,-1355.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
822,822,50.57608652114868,0.0,-0.11,0.02,-0.11,-0.18,-0.2,0.01,0.21,-0.03,-16.06,6.44,-6.42,-9.42,4.93,0.41,-30.25,-1.2,-18.57,-11.22,10.76,-16.87,28.0,143.0,-27234.0,-1428.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
