,Unnamed: 0,Time,Force,L_pitchAcc,L_yawAcc,L_surgeAcc,L_rollAcc,L_pitchVel,L_yawVel,L_surgeVel,L_rollVel,L_pitch,L_yaw,L_surge,L_roll,L_x,L_y,L_z,L_motion,R_pitchAcc,R_yawAcc,R_surgeAcc,R_rollAcc,R_pitchVel,R_yawVel,R_surgeVel,R_rollVel,R_pitch,R_yaw,R_surge,R_roll,R_x,R_y,R_z,R_motion
692,692,42.6494836807251,0.0,-0.02,0.02,0.06,0.03,-0.03,0.0,-0.08,0.01,-0.43,2.01,-3.21,-2.36,2.88,-0.02,0.28,-0.02,-12.59,-24.55,11.79,-21.86,81483.0,969.0,-44148.0,-530.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
693,693,42.711267709732056,0.0,0.01,-0.0,0.11,0.02,-0.01,0.0,0.03,-0.0,0.3,1.84,3.63,-1.38,2.42,0.0,2.02,-0.3,-12.57,-24.44,12.01,-21.95,81628.0,969.0,-44027.0,-548.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
694,694,42.772247314453125,0.0,0.01,-0.01,-0.17,0.02,0.0,0.0,-0.13,-0.01,0.89,1.4,-6.28,0.04,2.63,-0.02,-6.05,-1.13,-12.52,-24.36,11.63,-21.95,81786.0,968.0,-44390.0,-616.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
695,695,42.83398580551148,0.0,0.02,-0.01,-0.05,-0.05,-0.01,0.0,-0.15,0.01,2.21,0.86,-9.42,-3.04,2.08,0.0,-15.07,-0.23,-12.39,-24.3,11.06,-22.13,81911.0,968.0,-45294.0,-630.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
696,696,42.894811153411865,0.0,-0.01,0.0,0.05,0.04,-0.01,0.0,-0.1,0.0,1.65,0.9,-6.53,-0.41,1.55,0.0,-20.98,-0.16,-12.28,-24.25,10.66,-22.15,82007.0,968.0,-46595.0,-640.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
697,697,42.946638107299805,0.0,-0.02,-0.01,0.09,0.08,-0.02,0.0,-0.06,0.01,0.63,0.34,-0.92,4.16,0.43,0.0,-24.75,0.43,-12.25,-24.23,10.6,-21.9,82033.0,968.0,-48080.0,-614.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
698,698,43.007506132125854,0.0,-0.03,0.01,0.02,-0.01,-0.01,0.0,0.04,0.01,-1.01,0.95,0.31,3.34,0.02,0.0,-22.2,0.81,-12.31,-24.17,10.62,-21.71,82034.0,968.0,-49390.0,-566.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
699,699,43.06934952735901,0.0,-0.01,-0.01,0.07,0.01,-0.0,0.0,0.09,-0.01,-1.51,0.53,4.42,3.76,0.02,0.0,-16.74,0.13,-12.4,-24.14,10.89,-21.48,82035.0,968.0,-50411.0,-558.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
700,700,43.13018584251404,0.0,0.02,-0.01,-0.01,-0.02,0.0,0.0,0.03,0.0,-0.57,-0.03,3.85,2.68,0.22,0.0,-14.92,0.38,-12.43,-24.14,11.12,-21.32,82048.0,968.0,-51306.0,-535.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
701,701,43.19201874732971,0.0,-0.0,-0.01,-0.02,-0.02,0.01,0.0,0.02,-0.0,-0.76,-0.43,2.56,1.51,0.95,-0.03,-13.73,0.25,-12.48,-24.17,11.28,-21.23,82105.0,966.0,-52130.0,-520.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
702,702,43.25296473503113,0.0,-0.01,0.02,0.02,0.02,0.0,0.0,-0.01,-0.0,-1.49,0.49,3.49,2.65,1.0,-0.02,-14.64,0.11,-12.57,-24.14,11.49,-21.06,82166.0,965.0,-53023.0,-513.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
703,703,43.31438875198364,0.0,0.01,0.0,-0.03,-0.02,-0.0,0.0,0.04,0.01,-0.82,0.6,1.77,1.34,0.77,0.0,-12.41,0.44,-12.62,-24.1,11.6,-20.98,82213.0,965.0,-53780.0,-486.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
704,704,43.366159439086914,0.0,0.03,0.01,0.03,0.04,-0.01,0.0,0.03,-0.0,0.72,1.1,3.82,3.92,0.46,0.0,-10.86,0.19,-12.58,-24.04,11.82,-20.75,82240.0,965.0,-54421.0,-475.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
705,705,43.42710041999817,0.0,-0.0,-0.01,0.02,-0.05,-0.0,0.0,0.08,-0.0,0.59,0.76,5.22,1.19,0.34,-0.02,-6.12,-0.03,-12.54,-23.99,12.13,-20.68,82260.0,964.0,-54782.0,-477.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
706,706,43.4888288974762,0.0,-0.02,0.0,-0.0,-0.01,-0.01,0.0,0.08,-0.0,-0.66,0.93,5.16,0.53,0.02,0.0,-1.48,-0.08,-12.58,-23.94,12.44,-20.65,82261.0,964.0,-54872.0,-482.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
707,707,43.54963707923889,0.0,-0.03,0.01,-0.04,0.03,-0.0,0.0,-0.06,0.0,-2.56,1.77,2.66,2.58,0.0,0.0,-4.88,0.12,-12.74,-23.83,12.6,-20.49,82261.0,964.0,-55165.0,-475.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
708,708,43.61151766777039,0.0,0.02,-0.01,-0.02,0.01,-0.0,0.0,-0.06,0.0,-1.46,1.44,1.61,3.15,0.0,0.0,-8.43,0.13,-12.82,-23.74,12.7,-20.3,82261.0,964.0,-55679.0,-467.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
709,709,43.67239618301392,0.0,0.01,-0.0,0.01,-0.01,-0.0,0.0,-0.02,0.01,-0.59,1.43,2.44,2.72,0.0,0.0,-9.81,0.46,-12.86,-23.66,12.85,-20.14,82261.0,964.0,-56258.0,-440.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
710,710,43.73428606987,0.0,0.0,-0.01,0.0,-0.03,-0.0,0.0,0.04,-0.0,-0.41,0.95,2.54,1.17,0.0,0.0,-7.37,0.39,-12.88,-23.6,13.0,-20.07,82261.0,964.0,-56693.0,-417.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
711,711,43.79509496688843,0.0,-0.0,-0.02,-0.0,-0.03,-0.0,0.0,0.06,-0.01,-0.43,-0.19,2.34,-0.61,0.0,0.0,-3.95,0.05,-12.91,-23.61,13.14,-20.11,82261.0,964.0,-56934.0,-414.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
712,712,43.85684776306152,0.0,-0.01,-0.0,-0.01,0.04,-0.0,0.0,0.05,0.0,-0.83,-0.31,1.43,1.94,0.0,0.0,-1.0,0.11,-12.96,-23.63,13.23,-19.99,82261.0,964.0,-56995.0,-407.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
713,713,43.90782165527344,0.0,-0.01,0.0,0.04,0.06,-0.0,0.0,0.01,-0.0,-1.51,-0.13,3.62,5.31,0.0,-0.02,-0.2,0.03,-13.05,-23.64,13.44,-19.67,82261.0,963.0,-57007.0,-405.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
