,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_L_x,User_task1_L_x,Ref_task1_L_y,User_task1_L_y,Ref_task1_L_z,User_task1_L_z,Ref_task1_L_motion,User_task1_L_motion,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel
671,,,[0.],[0.],[0.05],[0.04],[0.28],[0.02],[0.01],[0.01],[0.],[0.],[0.02],[0.03],[-0.],[0.],[-0.],[-0.],[0.],[0.],[0.11],[1.03],[1.35],[1.36],[-0.76],[-1.31],[0.25],[-0.13],[0.02],[-5.58],[-0.02],[0.02],[-0.3],[1.3],[0.11],[0.1],[-9.2],[-6.85],[-26.28],[-26.11],[16.57],[19.4],[-19.75],[-26.45],,,,,[-19874.],[-19316.],[-798.],[-718.]
672,,,[0.],[0.],[-0.03],[-0.05],[-0.16],[0.02],[0.01],[-0.],[0.07],[0.01],[0.02],[0.03],[-0.],[0.],[-0.],[-0.],[0.],[0.],[0.11],[1.67],[1.35],[0.27],[-2.44],[-2.08],[-0.64],[-0.13],[0.02],[-11.78],[-0.02],[0.05],[-1.31],[1.3],[0.11],[0.08],[-9.2],[-6.9],[-26.28],[-26.11],[16.58],[19.4],[-19.68],[-26.46],,,,,[-19874.],[-19316.],[-798.],[-720.]
673,,,[0.],[0.],[-0.03],[-0.03],[-0.05],[0.02],[-0.02],[-0.01],[0.03],[0.01],[0.01],[0.01],[-0.],[-0.],[-0.],[-0.],[-0.01],[0.],[0.11],[36.29],[1.35],[0.27],[-7.36],[-2.08],[1.17],[-0.02],[0.02],[-4.1],[0.18],[0.05],[-0.05],[1.3],[-0.11],[-0.07],[-9.2],[-7.25],[-26.28],[-26.15],[16.58],[19.44],[-19.65],[-26.4],,,,,[-19874.],[-19316.],[-798.],[-730.]
674,,,[0.],[0.],[-0.05],[-0.03],,,[-0.],[0.],[-0.14],[-0.],[-0.02],[-0.03],[0.],[-0.],[-0.],[-0.],[-0.],[0.],[0.11],[10.56],[1.35],[0.53],[5.48],[0.59],[-2.89],[-0.02],[0.02],[-0.87],[-0.07],[-0.15],[2.31],[1.3],[-0.05],[-0.07],[-9.2],[-7.37],[-26.33],[-26.37],[16.92],[19.42],[-19.75],[-26.39],,,,,[-19874.],[-19309.],[-798.],[-730.]
675,,,[0.],[0.],[0.02],[0.03],,,[-0.],[0.],[-0.01],[-0.01],[0.],[0.],[0.02],[0.],[-0.01],[-0.],[-0.],[0.],[0.11],[4.84],[1.35],[1.09],[6.59],[1.41],[1.2],[0.87],[0.02],[-2.87],[-0.07],[-0.1],[3.54],[1.3],[0.03],[0.07],[-9.2],[-7.46],[-26.54],[-26.58],[16.96],[19.41],[-19.65],[-26.31],,,,,[-19874.],[-19304.],[-798.],[-730.]
676,,,[0.],[0.],[0.02],[0.02],,,[-0.],[-0.],[0.],[0.],[0.],[0.1],[-0.01],[-0.],[-0.08],[-0.],[0.02],[0.01],[0.11],[0.6],[1.35],[0.85],[2.07],[1.64],[-0.64],[0.3],[0.02],[-2.18],[0.03],[-0.02],[3.16],[1.3],[0.1],[0.07],[-9.2],[-7.61],[-26.54],[-26.75],[16.91],[19.43],[-19.41],[-26.25],,,,,[-19874.],[-19305.],[-798.],[-730.]
677,,,[0.],[0.],[0.08],[0.02],,,[-0.],[0.],[0.],[-0.],[0.],[0.],[-0.01],[-0.],[-0.05],[-0.],[0.],[-0.],[0.11],[-0.98],[1.35],[1.1],[2.41],[1.64],[-0.56],[0.3],[0.02],[-0.61],[0.07],[0.02],[1.08],[1.3],[-0.11],[0.],[-9.2],[-7.76],[-26.54],[-26.69],[16.68],[19.39],[-19.25],[-26.23],,,,,[-19874.],[-19304.],[-798.],[-716.]
678,,,[0.],[0.],[-0.03],[-0.01],,,[-0.02],[0.],[0.],[0.],[0.],[-0.04],[-0.01],[0.],[-0.05],[-0.],[0.],[-0.],[-2.89],[-5.64],[2.01],[1.85],[7.21],[1.64],[1.96],[1.17],[0.02],[-0.02],[0.26],[0.23],[0.17],[1.3],[-0.08],[0.],[-9.2],[-8.03],[-26.54],[-26.49],[16.52],[19.35],[-19.18],[-26.21],,,,,[-19874.],[-19304.],[-798.],[-715.]
679,,,[0.],[0.],[-0.03],[-0.01],,,[0.1],[0.02],[-0.],[0.],[0.],[-0.07],[0.02],[0.],[0.1],[0.03],[0.],[-0.],[-2.89],[-1.84],[2.01],[1.4],[1.53],[1.64],[3.16],[1.17],[0.02],[-0.02],[0.31],[0.23],[1.92],[1.3],[0.03],[0.02],[-9.3],[-8.61],[-26.54],[-26.59],[16.58],[19.34],[-19.24],[-26.19],,,,,[-19874.],[-19391.],[-798.],[-713.]
680,,,[0.],[0.],[0.],[0.],,,[-0.02],[-0.01],[-0.06],[-0.01],[0.],[-0.03],[-0.],[0.],[0.09],[0.03],[0.],[-0.],[-2.89],[-1.5],[-1.08],[0.18],[-0.32],[-0.08],[2.64],[1.02],[0.02],[-0.03],[0.1],[0.02],[2.74],[1.3],[0.03],[0.02],[-9.41],[-9.44],[-26.87],[-26.76],[16.66],[19.28],[-19.22],[-26.15],,,,,[-19874.],[-19553.],[-798.],[-713.]
