,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_L_x,User_task1_L_x,Ref_task1_L_y,User_task1_L_y,Ref_task1_L_z,User_task1_L_z,Ref_task1_L_motion,User_task1_L_motion,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel
0,[4.45324111],[6.85018706],[0.],[0.],[-0.15],[-0.01],[0.13],[0.02],[0.18],[0.01],[0.04],[-0.01],[0.19],[0.],[-0.],[-0.],[-0.07],[0.07],[0.01],[-0.],[-5.1],[0.65],[7.9],[1.08],[-16.02],[-5.21],[2.52],[-1.41],[-17.7],[0.],[0.07],[0.02],[28.75],[37.],[1.11],[-0.31],[-30.19],[-18.99],[-32.25],[-25.95],[16.09],[19.08],[-17.08],[-22.82],[6242.],[71397.],[-62.],[829.],[-34793.],[-29265.],[-843.],[-898.]
1,[4.51497841],[6.85018706],[0.],[0.],[0.06],[-0.01],[0.04],[0.02],[0.28],[0.01],[0.09],[0.07],[0.21],[0.],[-0.],[-0.],[0.13],[0.07],[0.01],[0.01],[-1.31],[-0.1],[10.39],[1.31],[0.77],[-5.21],[2.52],[2.9],[-5.05],[-0.02],[0.05],[0.02],[36.67],[37.],[0.1],[0.11],[-30.26],[-19.],[-31.63],[-25.87],[16.13],[18.56],[-16.59],[-22.64],[5939.],[71396.],[-59.],[829.],[-32593.],[-29265.],[-837.],[-891.]
2,[4.56583858],[6.85018706],[0.],[0.],[0.01],[0.02],[-0.06],[0.],[0.18],[0.01],[0.09],[0.09],[0.08],[0.],[-0.],[-0.],[-0.01],[-0.12],[-0.02],[-0.01],[-0.54],[-0.1],[6.97],[1.23],[11.51],[-5.21],[8.17],[8.03],[-0.17],[-0.02],[0.07],[0.02],[36.08],[29.52],[-0.58],[-0.37],[-30.3],[-18.94],[-31.22],[-25.8],[16.81],[18.32],[-16.09],[-22.16],[5929.],[71396.],[-55.],[829.],[-30464.],[-29265.],[-871.],[-891.]
3,[4.62763762],[6.85018706],[0.],[0.],[0.01],[0.02],[-0.1],[-0.],[-0.15],[-0.06],[0.],[-0.01],[0.],[0.],[-0.],[-0.],[-0.23],[-0.16],[-0.01],[-0.01],[4.61],[0.9],[0.97],[0.69],[2.53],[-5.21],[8.38],[7.7],[-0.05],[-0.02],[0.05],[0.02],[21.92],[19.88],[-0.58],[-0.44],[-30.01],[-18.81],[-31.16],[-25.76],[16.97],[17.92],[-15.6],[-21.69],[5926.],[71396.],[-52.],[829.],[-29127.],[-29265.],[-923.],[-913.]
4,[4.68864536],[6.85018706],[0.],[0.],[0.01],[0.01],[-0.07],[-0.01],[-0.26],[-0.06],[-0.01],[-0.01],[0.],[0.],[-0.],[-0.],[-0.29],[-0.16],[-0.],[-0.],[4.13],[0.9],[-3.35],[0.88],[-12.99],[-8.58],[8.05],[5.16],[-0.05],[-0.02],[0.05],[0.02],[21.92],[21.2],[-0.85],[-0.72],[-29.77],[-18.65],[-31.36],[-25.7],[16.97],[17.34],[-15.74],[-21.38],[5923.],[71396.],[-49.],[829.],[-28839.],[-29265.],[-942.],[-940.]
5,[4.75038147],[6.85018706],[0.],[0.],[0.01],[0.01],[0.],[0.],[0.03],[0.08],[-0.17],[-0.04],[0.],[0.],[-0.],[-0.],[-0.08],[-0.16],[-0.],[-0.],[0.67],[0.9],[-3.06],[0.99],[-11.22],[-8.58],[8.05],[7.6],[-0.03],[-0.02],[0.03],[0.],[21.92],[19.28],[-0.32],[-0.27],[-29.72],[-18.46],[-31.55],[-25.64],[16.19],[16.69],[-16.29],[-20.93],[5921.],[71396.],[-47.],[831.],[-28858.],[-29265.],[-942.],[-983.]
6,[4.81118131],[6.85018706],[0.],[0.],[0.08],[0.01],[0.],[0.],[0.03],[0.08],[-0.11],[-0.04],[0.],[0.],[-0.],[-0.],[-0.25],[-0.16],[0.01],[0.01],[-2.1],[0.9],[2.15],[1.32],[-9.51],[-8.58],[8.05],[3.26],[0.],[0.],[0.],[0.],[21.92],[20.17],[-0.32],[-0.18],[-29.85],[-18.33],[-31.42],[-25.56],[15.49],[15.63],[-17.11],[-20.73],[5921.],[71396.],[-47.],[831.],[-29789.],[-29265.],[-942.],[-999.]
7,[4.87301874],[6.85018706],[0.],[0.],[-0.01],[-0.02],[0.],[0.01],[0.13],[0.08],[-0.08],[-0.04],[0.],[0.],[-0.],[-0.],[0.15],[0.02],[0.01],[0.01],[-1.02],[0.9],[1.45],[1.4],[-1.73],[-4.03],[8.05],[-1.47],[0.],[0.],[0.],[0.],[21.92],[18.34],[-0.32],[-0.02],[-29.91],[-18.23],[-31.33],[-25.48],[14.92],[14.41],[-17.51],[-20.81],[5921.],[71396.],[-48.],[831.],[-30189.],[-29265.],[-942.],[-1010.]
8,[4.93481779],[6.85018706],[0.],[0.],[-0.01],[-0.01],[0.],[0.],[-0.06],[-0.04],[0.12],[0.04],[0.],[0.],[-0.],[-0.],[-0.07],[-0.03],[0.01],[0.01],[2.71],[2.15],[0.47],[1.4],[-5.2],[-4.03],[-2.22],[1.45],[0.],[0.],[0.],[0.],[21.92],[24.63],[-0.32],[-0.19],[-29.75],[-18.18],[-31.3],[-25.37],[14.81],[14.41],[-17.81],[-20.72],[5990.],[71396.],[-50.],[831.],[-30823.],[-29265.],[-942.],[-1011.]
9,[4.9956913],[6.85018706],[0.],[0.],[-0.01],[-0.01],[0.],[0.],[-0.06],[-0.05],[0.02],[0.04],[0.],[0.],[-0.],[-0.],[0.06],[0.01],[-0.],[0.],[2.7],[2.15],[2.19],[1.69],[7.84],[-4.03],[-2.22],[2.17],[0.],[0.],[0.],[0.03],[21.92],[24.66],[-0.32],[-0.45],[-29.59],[-18.14],[-31.17],[-25.26],[14.5],[14.41],[-18.02],[-20.59],[6089.],[71396.],[-54.],[831.],[-31248.],[-29265.],[-942.],[-1023.]
10,[5.05749011],[6.85018706],[0.],[0.],[-0.06],[-0.],[0.],[0.],[0.22],[-0.02],[0.03],[0.04],[0.],[0.],[-0.],[-0.],[0.06],[-0.03],[-0.],[0.],[3.11],[2.15],[3.28],[1.85],[-5.],[-6.55],[-2.22],[2.55],[0.],[0.],[0.],[0.],[21.92],[19.63],[-0.32],[0.05],[-29.4],[-18.09],[-30.97],[-25.19],[14.97],[14.41],[-18.5],[-20.44],[6262.],[71396.],[-60.],[831.],[-31246.],[-29265.],[-942.],[-1050.]
11,[5.11839104],[6.85018706],[0.],[0.],[-0.05],[0.],[0.09],[0.],[-0.21],[-0.11],[-0.08],[-0.07],[0.],[0.],[-0.],[-0.],[0.12],[0.1],[-0.],[0.],[1.63],[2.15],[4.08],[1.85],[-13.01],[-9.55],[-2.22],[-0.01],[0.],[0.],[0.],[0.],[21.92],[20.65],[-0.32],[0.],[-29.31],[-18.01],[-30.73],[-25.15],[14.67],[14.41],[-19.33],[-20.44],[6349.],[71396.],[-64.],[831.],[-31248.],[-29265.],[-942.],[-1047.]
12,[5.18023252],[6.85018706],[0.],[0.],[0.02],[0.01],[-0.01],[-0.01],[-0.13],[-0.11],[-0.08],[-0.08],[0.],[0.],[-0.],[-0.],[-0.],[0.],[-0.],[-0.],[-1.73],[2.15],[2.35],[1.85],[-12.3],[-10.83],[-2.22],[-1.43],[0.],[0.],[0.],[0.],[21.92],[20.39],[-0.32],[-0.25],[-29.41],[-17.96],[-30.59],[-25.14],[13.89],[14.41],[-20.56],[-20.52],[6350.],[71396.],[-59.],[831.],[-30970.],[-29265.],[-942.],[-1047.]
13,[5.2410326],[6.85018706],[0.],[0.],[0.06],[0.01],[-0.01],[-0.01],[0.01],[-0.05],[-0.1],[-0.08],[0.],[0.],[-0.],[-0.],[-0.],[-0.08],[-0.],[-0.],[2.8],[2.73],[2.33],[1.85],[-18.67],[-17.47],[-2.22],[-0.7],[0.],[0.],[0.],[0.],[21.92],[20.15],[-0.32],[-0.16],[-29.24],[-17.91],[-30.44],[-25.16],[13.14],[13.17],[-20.56],[-20.57],[6355.],[71396.],[-65.],[831.],[-30262.],[-29265.],[-942.],[-1062.]
14,[5.29189396],[6.85018706],[0.],[0.],[-0.],[-0.01],[-0.01],[-0.01],[0.01],[0.01],[-0.1],[-0.08],[0.],[0.],[-0.],[-0.],[0.08],[0.02],[0.01],[-0.],[6.86],[3.15],[1.21],[1.17],[-18.67],[-20.32],[-2.22],[-1.06],[0.],[0.],[0.],[0.],[21.92],[17.32],[-0.32],[0.08],[-28.82],[-17.86],[-30.37],[-25.17],[12.],[11.96],[-20.56],[-20.63],[6433.],[71396.],[-74.],[831.],[-29295.],[-29265.],[-942.],[-1072.]
15,[5.35376215],[6.85018706],[0.],[0.],[-0.],[0.],[-0.01],[-0.01],[-0.1],[-0.],[-0.08],[-0.08],[0.],[0.],[-0.],[-0.],[0.12],[-0.],[-0.01],[-0.],[6.5],[3.15],[1.21],[0.63],[-18.67],[-19.88],[-2.22],[0.8],[0.],[0.],[0.],[0.],[4.8],[17.43],[-0.32],[-0.69],[-28.43],[-17.85],[-30.48],[-25.15],[11.41],[11.96],[-20.56],[-20.58],[6788.],[71396.],[-84.],[831.],[-28727.],[-29265.],[-942.],[-1067.]
16,[5.41553378],[6.85018706],[0.],[0.],[-0.],[-0.],[-0.01],[-0.],[0.15],[0.07],[0.28],[0.05],[0.],[0.],[-0.],[-0.],[0.07],[-0.],[0.],[-0.],[4.85],[3.15],[1.21],[0.22],[-18.67],[-20.18],[-2.22],[2.51],[0.],[0.],[0.],[0.],[-0.31],[16.64],[-0.32],[-0.52],[-28.14],[-17.8],[-30.74],[-25.16],[10.44],[11.96],[-20.56],[-20.43],[6815.],[71396.],[-90.],[831.],[-28597.],[-29265.],[-942.],[-1109.]
17,[5.47640371],[6.85018706],[0.],[0.],[-0.],[-0.01],[-0.01],[0.01],[-0.11],[-0.],[0.08],[0.05],[0.],[0.],[-0.],[-0.],[0.07],[-0.05],[0.01],[0.01],[1.74],[2.21],[-1.79],[-0.26],[-9.74],[-16.13],[-8.87],[1.07],[0.],[0.],[0.],[0.],[-15.52],[14.27],[0.1],[0.],[-28.03],[-17.76],[-30.8],[-25.2],[9.55],[11.96],[-20.56],[-20.37],[6823.],[71396.],[-84.],[831.],[-27636.],[-27464.],[-942.],[-1140.]
18,[5.53824258],[6.85018706],[0.],[0.],[0.01],[0.01],[-0.01],[-0.01],[0.02],[0.06],[0.04],[0.05],[0.],[0.],[-0.],[-0.],[0.07],[0.],[-0.],[-0.],[1.74],[2.21],[-4.34],[-0.3],[-16.05],[-16.32],[-13.77],[0.23],[0.],[0.],[0.],[0.],[-6.45],[15.78],[0.1],[-0.12],[-27.93],[-17.73],[-30.7],[-25.22],[10.23],[11.96],[-20.56],[-20.36],[6823.],[71396.],[-84.],[831.],[-26249.],[-26271.],[-942.],[-1140.]
19,[5.59904742],[6.85018706],[0.],[0.],[0.01],[-0.],[-0.01],[-0.01],[0.02],[0.07],[-0.03],[0.01],[0.],[0.],[-0.],[-0.],[0.07],[-0.01],[-0.],[-0.],[2.52],[2.21],[-1.],[0.37],[-14.66],[-12.45],[-6.42],[-2.26],[0.],[0.],[0.],[0.],[-10.57],[17.52],[0.1],[-0.07],[-27.78],[-17.73],[-30.4],[-25.22],[10.75],[11.96],[-20.56],[-20.49],[6823.],[71396.],[-82.],[831.],[-25871.],[-26271.],[-942.],[-1147.]
20,[5.6610043],[6.85018706],[0.],[0.],[0.01],[-0.],[-0.01],[0.],[0.43],[0.08],[0.1],[0.01],[0.],[0.],[-0.],[-0.],[0.07],[-0.04],[-0.],[-0.],[6.01],[2.21],[-1.],[-0.19],[11.4],[-8.01],[-5.06],[-2.02],[0.],[0.],[0.],[0.],[-7.08],[16.92],[0.1],[0.03],[-27.41],[-17.67],[-30.45],[-25.31],[10.68],[11.96],[-20.56],[-20.61],[6817.],[71396.],[-88.],[831.],[-25792.],[-26271.],[-942.],[-1151.]
21,[5.72174764],[6.85018706],[0.],[0.],[0.01],[-0.01],[-0.01],[0.01],[-0.05],[0.06],[-0.07],[-0.04],[0.],[0.],[-0.],[-0.],[0.07],[0.03],[-0.],[0.],[2.18],[2.21],[-1.],[-0.6],[8.67],[-3.26],[-3.44],[-2.84],[0.],[0.],[0.],[0.],[0.03],[15.85],[0.1],[-0.05],[-27.28],[-17.57],[-30.54],[-25.44],[10.44],[11.96],[-20.56],[-20.78],[6770.],[71396.],[-82.],[831.],[-26154.],[-26271.],[-942.],[-1149.]
22,[5.78369284],[6.85018706],[0.],[0.],[0.01],[0.02],[-0.02],[-0.02],[-0.16],[0.],[-0.02],[-0.02],[0.],[0.],[-0.],[-0.],[0.07],[0.03],[-0.01],[0.],[1.93],[1.6],[1.71],[-0.34],[-1.2],[-3.26],[-3.44],[-0.1],[0.],[0.],[0.],[0.],[-0.03],[13.24],[0.1],[-0.22],[-27.17],[-17.57],[-30.82],[-25.53],[10.61],[11.96],[-20.56],[-20.79],[6907.],[71396.],[-79.],[831.],[-26540.],[-26271.],[-942.],[-1152.]
23,[5.8443923],[6.85018706],[0.],[0.],[0.01],[0.01],[-0.02],[-0.02],[-0.05],[-0.],[0.02],[0.01],[0.],[0.],[-0.],[-0.],[0.07],[-0.01],[0.01],[0.],[-0.1],[0.85],[4.93],[-0.02],[-4.07],[-3.26],[-3.44],[-0.27],[0.],[0.],[0.],[0.],[4.56],[13.78],[0.1],[-0.44],[-27.17],[-17.56],[-31.2],[-25.6],[11.09],[11.96],[-20.56],[-20.8],[7707.],[71495.],[-79.],[832.],[-26544.],[-26271.],[-942.],[-1165.]
24,[5.89634109],[6.85018706],[0.],[0.],[0.01],[-0.03],[0.03],[0.01],[0.11],[-0.],[-0.01],[-0.01],[0.],[0.],[-0.],[-0.],[0.07],[-0.02],[0.01],[0.],[0.03],[0.57],[-0.83],[-1.39],[2.91],[0.48],[-3.44],[-2.76],[0.],[0.],[0.],[0.],[11.61],[9.66],[0.1],[-0.05],[-27.17],[-17.54],[-31.1],[-25.64],[11.57],[11.96],[-20.56],[-20.97],[8319.],[71756.],[-77.],[830.],[-26085.],[-26271.],[-942.],[-1192.]
25,[5.95712209],[6.85018706],[0.],[0.],[0.01],[0.],[0.02],[0.01],[0.08],[-0.],[0.02],[0.03],[-0.],[0.],[-0.],[0.],[0.07],[-0.04],[-0.02],[-0.01],[-2.8],[0.57],[-1.46],[-2.31],[8.],[0.5],[-3.44],[-4.37],[0.],[0.],[0.],[0.],[11.61],[9.33],[0.1],[-0.05],[-27.34],[-17.52],[-30.77],[-25.66],[11.86],[11.96],[-20.56],[-21.24],[8948.],[72053.],[-74.],[829.],[-24996.],[-24978.],[-942.],[-1195.]
26,[6.01906395],[6.85018706],[0.],[0.],[0.01],[0.],[0.01],[0.01],[-0.],[-0.],[0.02],[0.03],[0.],[0.],[-0.],[-0.],[0.07],[0.01],[0.01],[0.],[-1.09],[0.82],[-1.46],[-1.5],[7.85],[0.5],[-3.44],[-1.09],[0.],[0.],[0.],[0.],[11.61],[10.62],[0.45],[-0.1],[-27.4],[-17.44],[-30.65],[-25.66],[11.86],[11.96],[-20.56],[-21.3],[9331.],[72295.],[-76.],[827.],[-23593.],[-24978.],[-942.],[-1198.]
27,[6.08079052],[6.85018706],[0.],[0.],[0.01],[0.],[0.01],[0.01],[-0.05],[-0.01],[-0.02],[-0.02],[0.],[0.],[-0.],[-0.],[0.07],[-0.07],[0.],[0.],[1.67],[1.44],[-1.46],[-1.16],[4.91],[0.35],[-3.44],[0.52],[0.],[0.],[0.],[0.02],[15.85],[14.54],[0.15],[0.03],[-27.3],[-17.36],[-30.65],[-25.6],[11.8],[11.96],[-20.56],[-21.27],[9436.],[72542.],[-78.],[824.],[-21633.],[-24978.],[-942.],[-1204.]
28,[6.14163017],[6.85018706],[0.],[0.],[0.01],[0.02],[0.01],[0.01],[-0.09],[-0.01],[-0.02],[-0.01],[0.],[0.],[-0.],[0.],[0.07],[-0.01],[0.01],[0.01],[2.01],[1.44],[-4.63],[-0.6],[-0.14],[0.01],[-3.44],[1.],[1.15],[0.],[-0.02],[-0.03],[9.47],[11.53],[-0.03],[-0.34],[-27.18],[-17.19],[-30.58],[-25.59],[11.92],[11.96],[-20.56],[-21.21],[9379.],[72849.],[-61.],[823.],[-19745.],[-24978.],[-942.],[-1202.]
29,[6.20247006],[6.85018706],[0.],[0.],[-0.02],[0.],[0.01],[0.],[-0.01],[-0.01],[-0.03],[-0.04],[0.],[0.],[-0.],[0.],[0.07],[0.02],[0.01],[0.01],[3.45],[1.44],[-6.32],[-0.3],[-0.97],[0.01],[-3.44],[1.37],[1.65],[0.],[-0.02],[-0.02],[2.13],[12.58],[-0.03],[-0.25],[-26.97],[-16.99],[-30.72],[-25.53],[11.4],[11.96],[-20.56],[-21.13],[9151.],[73339.],[-39.],[822.],[-19223.],[-24978.],[-942.],[-1222.]
30,[6.26438236],[6.85018706],[0.],[0.],[-0.06],[0.],[0.01],[0.01],[0.05],[-0.01],[-0.01],[0.],[0.01],[0.],[-0.],[0.],[0.07],[0.07],[0.],[0.],[1.15],[1.44],[1.69],[-0.],[1.88],[0.01],[-3.44],[1.91],[2.88],[0.],[-0.03],[-0.03],[16.02],[11.61],[-0.03],[0.07],[-26.9],[-16.92],[-30.58],[-25.51],[10.81],[11.96],[-20.56],[-21.01],[9154.],[73987.],[-30.],[821.],[-19200.],[-24978.],[-942.],[-1237.]
31,[6.31613231],[6.85018706],[0.],[0.],[0.07],[0.03],[0.01],[-0.01],[-0.17],[-0.01],[-0.01],[-0.01],[0.02],[0.],[-0.],[0.],[0.07],[-0.05],[0.],[0.],[1.26],[1.44],[5.49],[0.88],[-8.56],[0.01],[-3.44],[1.67],[1.45],[0.],[-0.07],[-0.05],[23.12],[12.4],[-0.03],[-0.05],[-26.83],[-16.94],[-30.52],[-25.56],[10.82],[11.96],[-20.56],[-20.92],[9169.],[74530.],[-43.],[821.],[-19300.],[-24978.],[-942.],[-1233.]
32,[6.37711167],[6.85018706],[0.],[0.],[0.07],[0.03],[0.01],[0.01],[-0.02],[-0.01],[0.05],[0.05],[-0.02],[0.],[-0.],[-0.],[0.07],[0.02],[0.],[-0.],[1.83],[1.44],[2.09],[0.88],[-9.86],[0.01],[-3.44],[0.19],[0.02],[0.],[-0.1],[-0.05],[6.3],[8.02],[0.27],[0.18],[-26.72],[-16.89],[-30.39],[-25.64],[10.91],[11.96],[-20.56],[-20.9],[9274.],[74947.],[-71.],[821.],[-19505.],[-24978.],[-942.],[-1236.]
33,[6.43783665],[6.85018706],[0.],[0.],[-0.01],[0.01],[0.01],[-0.01],[0.17],[0.02],[0.12],[0.05],[-0.02],[0.],[-0.],[0.],[0.07],[-0.02],[0.],[-0.],[1.67],[1.44],[0.02],[0.24],[0.25],[0.01],[-3.44],[-0.49],[0.08],[0.],[-0.07],[-0.05],[1.32],[1.38],[-0.13],[-0.1],[-26.62],[-16.86],[-30.33],[-25.66],[11.09],[11.96],[-20.56],[-20.93],[9287.],[75113.],[-75.],[821.],[-19862.],[-24978.],[-942.],[-1225.]
34,[6.49978065],[6.85018706],[0.],[0.],[-0.03],[-0.04],[0.01],[-0.02],[0.02],[0.02],[-0.15],[-0.],[0.],[0.],[-0.],[-0.],[0.07],[0.01],[0.],[-0.],[1.71],[1.44],[1.12],[1.07],[1.39],[1.04],[-3.44],[-1.4],[1.28],[0.],[0.08],[-0.02],[1.32],[0.03],[-0.13],[-0.08],[-26.51],[-16.74],[-30.3],[-25.63],[10.85],[11.96],[-20.56],[-21.02],[9289.],[75126.],[-75.],[821.],[-21019.],[-24978.],[-942.],[-1231.]
35,[6.56147647],[6.85018706],[0.],[0.],[-0.03],[-0.03],[0.01],[-0.01],[0.03],[0.02],[-0.03],[-0.04],[0.02],[0.],[-0.],[-0.],[0.07],[-0.07],[-0.],[-0.],[2.23],[1.44],[1.12],[0.23],[2.99],[1.04],[-3.44],[-1.6],[5.92],[0.],[-0.1],[-0.02],[1.32],[0.1],[0.07],[-0.02],[-26.38],[-16.63],[-30.3],[-25.58],[10.81],[11.96],[-20.56],[-21.11],[9290.],[75126.],[-75.],[821.],[-22500.],[-24978.],[-942.],[-1236.]
36,[6.62239313],[6.85018706],[0.],[0.],[-0.05],[-0.03],[0.01],[0.02],[-0.12],[0.01],[-0.03],[-0.03],[0.08],[0.05],[-0.],[-0.],[0.07],[-0.11],[-0.],[-0.],[1.57],[1.44],[-2.35],[-0.86],[-3.92],[1.04],[-8.01],[-6.7],[0.44],[0.],[-0.15],[-0.02],[1.32],[-0.25],[0.41],[-0.02],[-26.28],[-16.61],[-30.21],[-25.49],[11.02],[11.96],[-22.1],[-21.51],[9290.],[75126.],[-75.],[821.],[-23760.],[-24978.],[-942.],[-1237.]
37,[6.68417549],[6.85018706],[0.],[0.],[0.],[0.02],[0.01],[0.01],[0.05],[0.07],[0.06],[0.06],[-0.09],[0.01],[-0.],[-0.],[0.07],[-0.02],[0.],[-0.],[2.12],[1.44],[-2.35],[-1.28],[-0.71],[1.04],[-13.89],[-6.7],[0.13],[0.],[-0.17],[-0.02],[1.32],[-0.68],[0.16],[-0.02],[-26.16],[-16.63],[-30.22],[-25.41],[11.37],[11.96],[-22.1],[-21.72],[9290.],[75126.],[-75.],[821.],[-25199.],[-24978.],[-942.],[-1242.]
38,[6.73515415],[6.85018706],[0.],[0.],[0.01],[-0.01],[0.01],[0.01],[0.07],[0.07],[-0.02],[0.03],[-0.01],[-0.01],[-0.],[-0.],[0.07],[0.],[-0.01],[-0.],[1.62],[1.44],[2.38],[-0.37],[3.57],[1.55],[-20.15],[-6.7],[0.],[0.],[-0.1],[-0.02],[-5.93],[-5.16],[0.02],[-0.08],[-26.06],[-16.61],[-30.16],[-25.34],[11.65],[11.96],[-22.1],[-22.07],[9241.],[75126.],[-67.],[821.],[-26423.],[-24978.],[-942.],[-1247.]
39,[6.79584742],[6.85018706],[0.],[0.],[0.06],[0.03],[0.01],[0.01],[0.04],[0.05],[0.11],[0.03],[-0.],[-0.],[-0.],[-0.],[0.07],[-0.01],[-0.],[-0.],[1.85],[1.44],[1.03],[0.51],[5.76],[5.74],[-25.16],[-6.7],[0.],[0.],[0.1],[0.02],[-6.43],[-5.16],[-0.37],[-0.08],[-25.95],[-16.56],[-30.15],[-25.32],[12.04],[11.96],[-22.1],[-21.98],[9154.],[75071.],[-56.],[821.],[-26695.],[-24978.],[-942.],[-1237.]
40,[6.85782623],[6.85018706],[0.],[0.],[-0.06],[-0.],[0.01],[-0.],[-0.02],[0.05],[-0.02],[0.01],[-0.],[-0.],[-0.],[0.],[0.07],[-0.01],[0.01],[0.01],[2.19],[1.44],[1.03],[0.81],[4.77],[5.74],[-7.82],[-6.7],[-0.1],[0.],[0.],[0.02],[-0.07],[-1.57],[0.15],[0.17],[-25.82],[-16.49],[-30.17],[-25.32],[12.53],[11.96],[-22.1],[-21.91],[9069.],[74950.],[-39.],[821.],[-26698.],[-24978.],[-942.],[-1229.]
41,[6.91955018],[6.91213202],[0.],[0.],[-0.],[-0.],[0.01],[-0.],[0.03],[0.05],[-0.05],[0.01],[-0.],[-0.],[-0.],[0.],[0.07],[-0.07],[0.01],[0.01],[2.18],[1.44],[2.13],[1.52],[6.5],[5.74],[-2.83],[-3.37],[-0.77],[0.],[0.],[0.02],[-0.07],[0.],[0.5],[0.14],[-25.69],[-16.48],[-30.21],[-25.28],[12.97],[11.96],[-22.1],[-21.9],[9067.],[74890.],[-29.],[821.],[-27664.],[-24978.],[-942.],[-1236.]
42,[6.98049903],[6.97386074],[0.],[0.],[-0.03],[-0.03],[0.01],[-0.01],[0.03],[0.05],[-0.01],[0.01],[-0.01],[0.02],[-0.],[-0.],[0.07],[0.06],[-0.01],[0.],[1.74],[1.44],[0.98],[1.3],[8.18],[8.53],[-0.67],[-3.37],[2.28],[0.],[0.],[0.],[-0.07],[-0.02],[-0.93],[-0.12],[-25.58],[-16.52],[-30.2],[-25.24],[12.76],[11.96],[-22.1],[-21.94],[9091.],[74879.],[-26.],[821.],[-29608.],[-24978.],[-942.],[-1239.]
43,[7.04224014],[7.03471875],[0.],[0.],[0.],[-0.01],[0.01],[-0.01],[-0.01],[-0.04],[0.01],[0.01],[0.05],[0.05],[-0.],[-0.],[0.07],[0.03],[-0.],[0.],[2.32],[1.44],[0.98],[1.14],[7.38],[5.93],[-2.32],[-5.74],[13.33],[0.],[0.],[0.],[-0.07],[0.07],[-0.08],[-0.05],[-25.45],[-16.51],[-30.24],[-25.27],[12.95],[11.96],[-22.1],[-22.03],[8870.],[74823.],[-27.],[821.],[-30118.],[-24978.],[-942.],[-1242.]
44,[7.1031692],[7.09566784],[0.],[0.],[-0.05],[-0.01],[0.01],[0.01],[-0.18],[-0.04],[0.04],[-0.],[0.18],[0.04],[-0.],[0.],[0.07],[0.03],[-0.],[-0.],[1.81],[1.44],[0.55],[0.36],[-3.38],[1.89],[3.67],[1.54],[10.03],[0.],[0.],[0.],[-0.07],[0.07],[-0.03],[-0.05],[-25.34],[-16.5],[-30.24],[-25.32],[12.98],[11.96],[-22.1],[-22.05],[8184.],[74768.],[-32.],[821.],[-29345.],[-24978.],[-942.],[-1240.]
45,[7.16500974],[7.15743732],[0.],[0.],[0.03],[0.01],[0.01],[-0.],[0.11],[-0.04],[-0.02],[-0.02],[-0.05],[-0.03],[-0.],[-0.],[0.07],[0.],[-0.],[0.],[1.26],[1.44],[0.07],[0.36],[3.18],[1.89],[-0.49],[1.13],[10.66],[0.],[0.03],[0.03],[-0.07],[0.],[-0.03],[0.03],[-25.26],[-16.5],[-30.17],[-25.36],[12.81],[11.96],[-22.1],[-22.05],[7610.],[74608.],[-35.],[821.],[-27785.],[-24978.],[-942.],[-1238.]
46,[7.21587276],[7.2191689],[0.],[0.],[0.04],[0.01],[0.01],[-0.02],[-0.05],[-0.04],[-0.02],[-0.01],[0.01],[-0.04],[-0.],[-0.],[0.07],[0.],[-0.],[-0.01],[0.61],[0.78],[1.49],[0.36],[0.52],[1.89],[-0.49],[0.19],[6.38],[0.],[-0.1],[0.],[7.52],[0.],[-0.03],[0.03],[-25.22],[-16.52],[-30.09],[-25.35],[12.94],[11.96],[-22.1],[-22.07],[7428.],[74428.],[-54.],[821.],[-26491.],[-24978.],[-942.],[-1229.]
47,[7.27759862],[7.28005552],[0.],[0.],[0.01],[0.01],[0.01],[-0.01],[-0.06],[-0.07],[-0.02],[-0.02],[-0.07],[-0.07],[-0.],[-0.],[0.07],[-0.],[-0.],[0.],[0.61],[0.86],[-0.16],[-0.],[-2.87],[1.89],[-0.49],[-0.71],[1.69],[0.],[0.1],[0.02],[18.46],[0.],[0.28],[0.15],[-25.17],[-16.49],[-30.02],[-25.31],[13.11],[11.96],[-22.1],[-22.16],[7457.],[74268.],[-55.],[821.],[-26065.],[-24978.],[-942.],[-1213.]
