,Ref_task3_Time,User_task3_Time,Ref_task3_Force,User_task3_Force,Ref_task3_L_pitchAcc,User_task3_L_pitchAcc,Ref_task3_L_yawAcc,User_task3_L_yawAcc,Ref_task3_L_surgeAcc,User_task3_L_surgeAcc,Ref_task3_L_rollAcc,User_task3_L_rollAcc,Ref_task3_L_pitchVel,User_task3_L_pitchVel,Ref_task3_L_yawVel,User_task3_L_yawVel,Ref_task3_L_surgeVel,User_task3_L_surgeVel,Ref_task3_L_rollVel,User_task3_L_rollVel,Ref_task3_L_pitch,User_task3_L_pitch,Ref_task3_L_yaw,User_task3_L_yaw,Ref_task3_L_surge,User_task3_L_surge,Ref_task3_L_roll,User_task3_L_roll,Ref_task3_L_x,User_task3_L_x,Ref_task3_L_y,User_task3_L_y,Ref_task3_L_z,User_task3_L_z,Ref_task3_L_motion,User_task3_L_motion,Ref_task3_R_pitchAcc,User_task3_R_pitchAcc,Ref_task3_R_yawAcc,User_task3_R_yawAcc,Ref_task3_R_surgeAcc,User_task3_R_surgeAcc,Ref_task3_R_rollAcc,User_task3_R_rollAcc,Ref_task3_R_pitchVel,User_task3_R_pitchVel,Ref_task3_R_yawVel,User_task3_R_yawVel,Ref_task3_R_surgeVel,User_task3_R_surgeVel,Ref_task3_R_rollVel,User_task3_R_rollVel
0,[50.02340484],[100.55797076],[0.],[0.],[-0.],[-0.07],[-0.08],[-0.02],[0.03],[0.1],[0.02],[0.16],[0.13],[-0.19],[0.],[-0.01],[-0.09],[-0.1],[0.01],[0.01],[-7.06],[-23.35],[0.14],[18.22],[-3.55],[16.01],[-1.17],[25.73],[24.48],[37.78],[0.11],[-1.3],[11.81],[-18.75],[-0.24],[-0.19],[-13.49],[-14.96],[-14.67],[-19.43],[14.23],[15.18],[-17.48],[-19.54],[-7293.],[73746.],[103.],[1207.],[-12382.],[-53836.],[-1581.],[-510.]
1,[50.08528328],[100.61987519],[0.],[0.],[-0.],[0.08],[-0.08],[-0.16],[0.03],[0.1],[0.04],[0.05],[-0.02],[-0.14],[0.],[0.],[-0.22],[-0.1],[0.],[-0.01],[-9.04],[-18.41],[-2.6],[8.25],[-7.24],[22.06],[1.06],[28.77],[23.4],[28.94],[0.03],[-1.02],[-1.28],[-18.75],[-0.2],[-0.19],[-14.04],[-14.96],[-14.83],[-18.91],[13.8],[15.18],[-17.41],[-17.72],[-5889.],[75569.],[105.],[1143.],[-12459.],[-54345.],[-1593.],[-567.]
2,[50.14613938],[100.68074703],[0.],[0.],[-0.],[0.07],[-0.05],[-0.01],[-0.06],[-0.09],[0.02],[-0.05],[-0.02],[-0.2],[0.],[0.],[-0.42],[-0.1],[0.],[-0.],[-22.09],[-18.41],[5.44],[7.68],[-17.81],[16.28],[2.11],[25.61],[24.63],[16.84],[0.11],[-0.89],[-27.87],[-18.75],[0.94],[-0.19],[-15.43],[-14.96],[-14.83],[-18.44],[12.68],[15.18],[-17.28],[-17.72],[-4337.],[76613.],[112.],[1088.],[-14215.],[-54676.],[-1534.],[-627.]
3,[50.20791245],[100.74263024],[0.],[0.],[-0.03],[-0.03],[0.13],[0.03],[-0.17],[-0.08],[-0.1],[-0.14],[0.02],[-0.],[0.],[-0.],[-0.19],[-0.1],[0.],[0.],[-16.54],[-13.82],[14.03],[9.48],[-8.85],[11.19],[-3.79],[16.93],[4.36],[16.6],[-0.07],[-1.],[-39.28],[-18.75],[0.64],[-0.19],[-16.44],[-16.12],[-14.83],[-17.84],[12.14],[15.18],[-17.51],[-17.72],[-4071.],[77659.],[108.],[1025.],[-16611.],[-54843.],[-1495.],[-680.]
4,[50.26889157],[100.80434561],[0.],[0.],[-0.21],[-0.07],[0.14],[0.03],[0.15],[0.02],[0.13],[0.02],[-0.33],[-0.07],[0.],[-0.],[0.09],[0.17],[0.02],[0.],[-16.54],[-15.72],[12.25],[9.48],[1.25],[12.51],[3.99],[17.97],[11.73],[12.54],[-0.24],[-1.15],[-33.98],[-18.75],[0.77],[-0.19],[-16.68],[-16.98],[-14.83],[-17.48],[12.22],[15.18],[-17.26],[-17.72],[-3344.],[78424.],[93.],[955.],[-18718.],[-54826.],[-1447.],[-697.]
5,[50.33058739],[100.86531496],[0.],[0.],[0.09],[0.12],[-0.03],[-0.06],[0.16],[0.02],[0.03],[0.02],[0.12],[0.01],[0.],[0.],[0.29],[0.17],[-0.],[0.],[-16.54],[-19.74],[6.34],[5.96],[6.62],[11.12],[5.68],[13.35],[11.73],[13.],[-0.24],[-1.13],[-16.41],[-18.75],[0.15],[-0.19],[-17.04],[-16.98],[-14.83],[-17.08],[12.62],[15.18],[-16.92],[-17.72],[-2816.],[79230.],[96.],[885.],[-19719.],[-54764.],[-1438.],[-776.]
6,[50.39148951],[100.92601395],[0.],[0.],[0.2],[0.07],[-0.1],[-0.06],[0.09],[-0.02],[-0.03],[-0.07],[0.12],[0.12],[0.],[0.01],[0.],[0.04],[0.],[0.],[-16.54],[-12.18],[6.34],[6.31],[6.62],[3.42],[5.68],[8.63],[11.73],[20.54],[-0.24],[-0.66],[-16.37],[-18.75],[-0.3],[-0.19],[-17.15],[-16.98],[-14.83],[-16.62],[11.88],[15.18],[-16.69],[-17.72],[-2178.],[80483.],[103.],[845.],[-20701.],[-54828.],[-1456.],[-744.]
7,[50.45330858],[100.98796582],[0.],[0.],[-0.03],[-0.02],[0.],[0.01],[-0.32],[-0.13],[-0.03],[-0.08],[-0.05],[-0.08],[0.],[0.],[0.],[0.04],[-0.01],[0.],[-3.87],[-8.12],[6.45],[7.69],[6.62],[-2.16],[5.68],[7.35],[11.73],[15.47],[-0.24],[-0.48],[-33.74],[-18.75],[0.98],[-0.19],[-17.02],[-16.98],[-14.83],[-16.25],[11.12],[15.18],[-16.41],[-17.72],[-1317.],[81411.],[113.],[816.],[-22793.],[-54888.],[-1395.],[-761.]
8,[50.51418543],[101.04970908],[0.],[0.],[0.07],[0.09],[0.],[0.02],[0.],[-0.09],[0.01],[-0.02],[-0.05],[-0.15],[0.],[0.],[0.],[0.05],[-0.01],[0.],[-5.94],[-9.43],[6.45],[6.15],[-12.35],[-2.56],[5.68],[5.45],[11.73],[5.94],[-0.24],[-0.44],[-43.27],[-18.75],[0.67],[-0.19],[-17.59],[-17.97],[-14.83],[-16.04],[11.15],[15.18],[-16.3],[-17.72],[-273.],[81779.],[118.],[789.],[-25389.],[-54889.],[-1355.],[-761.]
9,[50.57608652],[101.11049128],[0.],[0.],[0.07],[0.09],[-0.05],[-0.03],[0.],[-0.01],[-0.04],[-0.03],[0.03],[0.05],[0.],[0.],[0.],[0.01],[0.02],[0.01],[-1.92],[-3.62],[3.12],[3.34],[-12.21],[-8.86],[5.68],[1.09],[11.73],[8.82],[0.05],[-0.22],[-30.25],[-18.75],[-1.2],[-0.19],[-18.57],[-19.17],[-14.83],[-16.08],[10.76],[15.18],[-16.87],[-17.72],[28.],[82308.],[143.],[776.],[-27234.],[-54907.],[-1355.],[-760.]
