,Ref_task2_Time,User_task2_Time,Ref_task2_Force,User_task2_Force,Ref_task2_L_pitchAcc,User_task2_L_pitchAcc,Ref_task2_L_yawAcc,User_task2_L_yawAcc,Ref_task2_L_surgeAcc,User_task2_L_surgeAcc,Ref_task2_L_rollAcc,User_task2_L_rollAcc,Ref_task2_L_pitchVel,User_task2_L_pitchVel,Ref_task2_L_yawVel,User_task2_L_yawVel,Ref_task2_L_surgeVel,User_task2_L_surgeVel,Ref_task2_L_rollVel,User_task2_L_rollVel,Ref_task2_L_pitch,User_task2_L_pitch,Ref_task2_L_yaw,User_task2_L_yaw,Ref_task2_L_surge,User_task2_L_surge,Ref_task2_L_roll,User_task2_L_roll,Ref_task2_L_x,User_task2_L_x,Ref_task2_L_y,User_task2_L_y,Ref_task2_L_z,User_task2_L_z,Ref_task2_L_motion,User_task2_L_motion,Ref_task2_R_pitchAcc,User_task2_R_pitchAcc,Ref_task2_R_yawAcc,User_task2_R_yawAcc,Ref_task2_R_surgeAcc,User_task2_R_surgeAcc,Ref_task2_R_rollAcc,User_task2_R_rollAcc,Ref_task2_R_pitchVel,User_task2_R_pitchVel,Ref_task2_R_yawVel,User_task2_R_yawVel,Ref_task2_R_surgeVel,User_task2_R_surgeVel,Ref_task2_R_rollVel,User_task2_R_rollVel
0,[30.94242167],[42.64948368],[0.],[0.],[-0.17],[-0.02],[-0.3],[0.02],[0.11],[0.06],[0.03],[0.03],[-0.06],[-0.03],[0.],[0.],[0.02],[-0.08],[0.],[0.01],[-8.35],[-0.43],[-21.2],[2.01],[1.63],[-3.21],[0.66],[-2.36],[-7.84],[2.88],[0.46],[-0.02],[3.57],[0.28],[0.28],[-0.02],[-10.6],[-12.59],[-22.47],[-24.55],[18.33],[11.79],[-16.03],[-21.86],[-16377.],[81483.],[275.],[969.],[-22289.],[-44148.],[-1105.],[-530.]
1,[31.00323272],[42.64948368],[0.],[0.],[-0.18],[-0.02],[0.65],[0.02],[0.11],[0.11],[0.03],[0.02],[0.06],[-0.01],[0.],[0.],[0.19],[0.03],[0.],[-0.],[-19.39],[-0.43],[18.28],[2.01],[1.63],[3.63],[0.71],[-1.38],[-4.44],[2.88],[0.21],[0.],[15.36],[2.02],[0.28],[-0.3],[-11.79],[-12.57],[-22.47],[-24.44],[18.33],[12.01],[-15.99],[-21.95],[-16648.],[81628.],[288.],[969.],[-21352.],[-44027.],[-1073.],[-548.]
2,[31.06514478],[42.64948368],[0.],[0.],[0.29],[0.01],[-0.13],[-0.],[-0.02],[-0.17],[0.03],[0.02],[0.17],[0.],[0.],[0.],[0.04],[0.03],[0.],[-0.01],[-1.73],[-0.43],[10.22],[2.01],[1.63],[-6.28],[1.02],[0.04],[5.8],[2.88],[-0.03],[-0.02],[17.75],[2.02],[0.28],[-1.13],[-11.89],[-12.52],[-22.47],[-24.36],[18.33],[11.63],[-15.93],[-21.95],[-16294.],[81786.],[286.],[968.],[-20269.],[-44027.],[-1047.],[-616.]
3,[31.12691736],[42.64948368],[0.],[0.],[-0.],[0.01],[0.06],[-0.],[-0.03],[-0.05],[0.03],[-0.05],[0.31],[0.],[0.],[0.],[-0.03],[0.03],[0.],[0.01],[-2.02],[-0.43],[14.09],[2.01],[1.63],[-9.42],[1.46],[0.04],[24.93],[2.88],[0.08],[0.],[15.95],[2.02],[0.28],[-0.23],[-12.01],[-12.39],[-22.47],[-24.3],[18.33],[11.06],[-15.84],[-22.13],[-14773.],[81911.],[291.],[968.],[-19296.],[-44027.],[-1038.],[-630.]
4,[31.18776989],[42.64948368],[0.],[0.],[-0.04],[0.01],[-0.03],[-0.01],[-0.02],[-0.05],[0.03],[0.04],[-0.19],[-0.01],[0.],[0.],[-0.04],[0.03],[0.],[0.],[-4.65],[0.3],[12.36],[2.01],[1.63],[-6.53],[2.34],[0.04],[13.31],[2.88],[0.03],[0.],[13.35],[2.02],[0.28],[-0.16],[-12.3],[-12.28],[-22.47],[-24.25],[18.33],[10.66],[-15.69],[-22.15],[-13948.],[82007.],[293.],[968.],[-18468.],[-44027.],[-1002.],[-640.]
5,[31.24868846],[42.64948368],[0.],[0.],[0.11],[0.02],[-0.23],[-0.01],[-0.04],[-0.05],[0.03],[0.08],[0.14],[-0.01],[0.],[0.],[-0.11],[-0.13],[0.],[0.01],[1.92],[0.89],[-1.95],[2.01],[1.63],[-0.92],[1.06],[0.04],[22.23],[2.88],[0.03],[0.],[6.29],[2.02],[0.52],[0.43],[-12.3],[-12.25],[-22.47],[-24.23],[18.33],[10.6],[-15.63],[-21.9],[-12570.],[82033.],[287.],[968.],[-18078.],[-44027.],[-994.],[-614.]
6,[31.31045341],[42.64948368],[0.],[0.],[-0.14],[-0.01],[0.13],[0.],[0.04],[-0.05],[0.],[-0.01],[-0.05],[-0.01],[0.],[0.],[-0.11],[-0.15],[0.],[0.01],[1.92],[2.21],[5.92],[2.01],[1.63],[0.31],[-4.81],[-3.04],[19.44],[2.88],[0.03],[0.],[0.2],[2.02],[0.43],[0.43],[-12.3],[-12.31],[-22.47],[-24.17],[18.33],[10.62],[-15.92],[-21.71],[-11384.],[82034.],[296.],[968.],[-18066.],[-44027.],[-992.],[-566.]
7,[31.37224579],[42.64948368],[0.],[0.],[-0.02],[-0.02],[-0.21],[-0.01],[-0.06],[-0.05],[0.01],[0.01],[-0.06],[-0.01],[0.],[0.],[-0.1],[-0.1],[0.],[-0.01],[1.92],[1.65],[-6.83],[2.01],[1.63],[4.42],[-9.17],[-3.04],[15.72],[2.88],[0.03],[0.],[-0.3],[2.02],[0.43],[0.81],[-12.3],[-12.4],[-22.47],[-24.14],[18.33],[10.89],[-16.48],[-21.48],[-10425.],[82035.],[286.],[968.],[-18084.],[-44027.],[-986.],[-558.]
8,[31.43407702],[42.64948368],[0.],[0.],[-0.02],[-0.03],[0.08],[0.01],[0.01],[-0.05],[0.01],[0.01],[0.33],[-0.01],[0.],[0.],[-0.01],[-0.06],[0.],[0.],[1.92],[0.63],[-1.82],[2.01],[1.63],[3.85],[-14.51],[-3.04],[36.22],[2.42],[0.03],[0.],[-4.92],[-6.05],[0.15],[0.13],[-12.18],[-12.43],[-22.47],[-24.14],[18.33],[11.12],[-17.39],[-21.32],[-8143.],[82048.],[271.],[968.],[-18394.],[-44027.],[-984.],[-535.]
9,[31.5048933],[42.64948368],[0.],[0.],[-0.01],[-0.01],[0.24],[0.01],[-0.18],[-0.05],[0.01],[0.01],[0.11],[-0.01],[0.],[0.],[-0.07],[-0.06],[0.],[-0.],[-6.47],[-1.01],[13.46],[2.01],[1.63],[2.56],[-9.32],[-3.04],[43.],[2.63],[0.03],[-0.03],[-17.03],[-15.07],[0.15],[0.38],[-12.58],[-12.48],[-22.47],[-24.17],[18.33],[11.28],[-17.98],[-21.23],[-5434.],[82105.],[221.],[966.],[-19467.],[-44027.],[-984.],[-520.]
