,Ref_task2_Time,User_task2_Time,Ref_task2_Force,User_task2_Force,Ref_task2_L_pitchAcc,User_task2_L_pitchAcc,Ref_task2_L_yawAcc,User_task2_L_yawAcc,Ref_task2_L_surgeAcc,User_task2_L_surgeAcc,Ref_task2_L_rollAcc,User_task2_L_rollAcc,Ref_task2_L_pitchVel,User_task2_L_pitchVel,Ref_task2_L_yawVel,User_task2_L_yawVel,Ref_task2_L_surgeVel,User_task2_L_surgeVel,Ref_task2_L_rollVel,User_task2_L_rollVel,Ref_task2_L_pitch,User_task2_L_pitch,Ref_task2_L_yaw,User_task2_L_yaw,Ref_task2_L_surge,User_task2_L_surge,Ref_task2_L_roll,User_task2_L_roll,Ref_task2_L_x,User_task2_L_x,Ref_task2_L_y,User_task2_L_y,Ref_task2_L_z,User_task2_L_z,Ref_task2_L_motion,User_task2_L_motion,Ref_task2_R_pitchAcc,User_task2_R_pitchAcc,Ref_task2_R_yawAcc,User_task2_R_yawAcc,Ref_task2_R_surgeAcc,User_task2_R_surgeAcc,Ref_task2_R_rollAcc,User_task2_R_rollAcc,Ref_task2_R_pitchVel,User_task2_R_pitchVel,Ref_task2_R_yawVel,User_task2_R_yawVel,Ref_task2_R_surgeVel,User_task2_R_surgeVel,Ref_task2_R_rollVel,User_task2_R_rollVel
10,[31.56584382],[42.64948368],[0.],[0.],[-0.73],[-0.01],[-0.03],[-0.01],[-0.11],[-0.05],[-0.02],[-0.02],[-0.14],[-0.02],[0.],[0.],[-0.19],[-0.06],[0.],[-0.],[-7.55],[-1.51],[11.84],[2.01],[1.63],[3.49],[-2.75],[-0.41],[33.78],[2.08],[0.03],[-0.02],[-55.22],[-20.98],[0.15],[0.25],[-12.58],[-12.57],[-22.47],[-24.14],[18.33],[11.49],[-18.16],[-21.06],[-3272.],[82166.],[147.],[965.],[-23001.],[-44027.],[-984.],[-513.]
11,[31.62761545],[42.64948368],[0.],[0.],[0.34],[0.02],[0.18],[-0.01],[0.06],[0.05],[-0.02],[-0.02],[-0.41],[-0.02],[0.],[0.],[-0.6],[-0.06],[0.],[0.01],[-8.26],[-1.51],[22.91],[2.01],[1.63],[1.77],[7.93],[4.16],[8.23],[1.55],[0.03],[0.],[-49.95],[-24.75],[0.15],[0.11],[-12.58],[-12.62],[-22.47],[-24.1],[18.33],[11.6],[-18.16],[-20.98],[-2762.],[82213.],[130.],[965.],[-26098.],[-44027.],[-984.],[-486.]
12,[31.68840766],[42.64948368],[0.],[0.],[0.05],[0.02],[-0.33],[-0.01],[0.22],[0.09],[-0.02],[0.02],[-0.23],[-0.02],[0.],[0.],[0.08],[0.04],[0.],[-0.],[-54.55],[-0.57],[2.3],[1.84],[1.63],[3.82],[5.31],[3.34],[-5.84],[0.43],[0.03],[0.],[-57.35],[-24.75],[0.58],[0.44],[-12.58],[-12.58],[-22.47],[-24.04],[18.33],[11.82],[-18.16],[-20.75],[-2762.],[82240.],[118.],[965.],[-29654.],[-44027.],[-984.],[-475.]
13,[31.75034642],[42.64948368],[0.],[0.],[0.41],[0.02],[0.04],[0.02],[-0.36],[0.02],[-0.02],[-0.02],[0.07],[-0.01],[0.],[0.],[0.08],[0.09],[0.],[-0.],[-32.78],[-0.76],[4.48],[1.4],[1.63],[5.22],[5.54],[3.76],[-1.69],[0.02],[0.03],[-0.02],[-55.77],[-24.75],[0.13],[0.19],[-12.58],[-12.54],[-22.47],[-23.99],[18.33],[12.13],[-18.16],[-20.68],[-2762.],[82260.],[127.],[964.],[-33112.],[-44027.],[-984.],[-477.]
14,[31.8120904],[42.64948368],[0.],[0.],[0.1],[0.02],[-0.12],[0.],[-0.04],[0.02],[-0.1],[-0.02],[-0.1],[-0.01],[0.],[0.],[-0.12],[0.03],[0.],[-0.],[-29.6],[-1.49],[-2.5],[0.86],[1.63],[5.16],[2.68],[2.68],[-7.4],[0.02],[0.03],[0.],[-34.85],[-24.75],[0.03],[-0.03],[-12.58],[-12.58],[-22.47],[-23.94],[18.33],[12.44],[-18.16],[-20.65],[-2762.],[82261.],[134.],[964.],[-35203.],[-44390.],[-984.],[-482.]
15,[31.8729341],[42.64948368],[0.],[0.],[-0.02],[-0.],[0.],[0.],[-0.01],[0.02],[-0.07],[-0.02],[-0.12],[-0.01],[0.],[0.],[0.03],[0.03],[0.],[0.],[-4.01],[-0.82],[-2.49],[0.9],[1.63],[2.66],[2.68],[1.51],[-14.73],[0.22],[0.03],[0.],[-18.35],[-22.2],[0.1],[-0.03],[-12.58],[-12.74],[-22.47],[-23.83],[18.33],[12.6],[-18.16],[-20.49],[-2762.],[82261.],[151.],[964.],[-36341.],[-45294.],[-984.],[-475.]
16,[31.93479037],[42.64948368],[0.],[0.],[-0.09],[-0.01],[0.01],[0.01],[0.14],[0.07],[-0.08],[-0.02],[-0.03],[-0.],[0.],[0.],[0.03],[0.02],[0.],[0.],[2.24],[0.72],[-2.15],[0.34],[1.63],[1.61],[2.68],[2.65],[-16.5],[0.95],[0.03],[0.],[-23.47],[-22.2],[0.03],[-0.03],[-13.04],[-12.82],[-22.47],[-23.74],[18.33],[12.7],[-18.16],[-20.3],[-2762.],[82261.],[172.],[964.],[-37796.],[-46595.],[-984.],[-467.]
17,[31.99554968],[42.64948368],[0.],[0.],[-0.14],[-0.01],[0.18],[-0.01],[0.41],[0.07],[0.08],[0.04],[0.11],[0.],[0.],[0.],[0.35],[-0.01],[0.],[0.01],[0.81],[0.59],[9.5],[0.95],[1.63],[2.44],[2.68],[1.34],[-9.48],[1.],[0.03],[0.],[-40.76],[-22.2],[-0.41],[-0.08],[-13.04],[-12.86],[-22.47],[-23.66],[18.33],[12.85],[-18.16],[-20.14],[-2762.],[82261.],[189.],[964.],[-40364.],[-48080.],[-984.],[-440.]
18,[32.05750561],[42.64948368],[0.],[0.],[-0.01],[-0.01],[-0.09],[0.],[-0.04],[-0.01],[0.1],[0.04],[0.12],[0.01],[0.],[0.],[0.27],[0.04],[0.],[-0.],[0.81],[-0.66],[3.69],[0.95],[1.63],[2.54],[2.68],[3.92],[-1.74],[0.77],[0.03],[0.],[-20.34],[-16.74],[-0.05],[-0.08],[-13.04],[-12.88],[-22.47],[-23.6],[18.33],[13.],[-18.16],[-20.07],[-2762.],[82261.],[196.],[964.],[-41625.],[-49390.],[-984.],[-417.]
19,[32.11825347],[42.64948368],[0.],[0.],[-0.01],[0.01],[0.04],[0.01],[-0.02],[-0.02],[0.17],[0.04],[-0.06],[0.],[0.],[0.],[-0.08],[0.03],[0.],[-0.01],[-4.47],[-2.56],[6.39],[0.53],[1.63],[2.34],[2.68],[1.19],[-5.3],[0.46],[0.03],[0.],[-20.34],[-14.92],[-3.37],[-0.08],[-13.04],[-12.91],[-22.47],[-23.61],[18.33],[13.14],[-18.16],[-20.11],[-2762.],[82261.],[209.],[964.],[-43980.],[-50411.],[-984.],[-414.]
20,[32.18020058],[42.64948368],[0.],[0.],[0.24],[0.03],[-0.11],[-0.01],[-0.02],[0.02],[-0.04],[-0.05],[-0.36],[-0.],[0.],[0.],[-0.08],[0.08],[0.],[0.],[-13.32],[-2.56],[-0.22],[-0.03],[1.63],[1.43],[2.68],[0.53],[-27.43],[0.34],[0.03],[0.],[-20.34],[-13.73],[-0.44],[0.12],[-13.04],[-12.96],[-22.47],[-23.63],[18.33],[13.23],[-18.16],[-19.99],[-2762.],[82261.],[217.],[964.],[-43327.],[-51306.],[-984.],[-407.]
21,[32.24192762],[42.64948368],[0.],[0.],[-0.04],[-0.],[-0.01],[-0.01],[-0.02],[-0.03],[0.],[-0.01],[-0.13],[-0.01],[0.],[0.],[-0.08],[0.08],[0.],[-0.],[-13.79],[-1.46],[-0.22],[-0.43],[1.63],[3.62],[2.68],[2.58],[-35.37],[0.02],[0.03],[-0.02],[-20.34],[-14.64],[-0.94],[0.13],[-13.04],[-13.05],[-22.47],[-23.64],[18.33],[13.44],[-18.16],[-19.67],[-2762.],[82261.],[204.],[963.],[-44755.],[-52130.],[-984.],[-405.]
22,[32.30283761],[42.64948368],[0.],[0.],[-0.01],[-0.02],[0.08],[-0.],[0.42],[0.03],[0.],[0.03],[0.05],[-0.],[0.],[0.],[-0.08],[-0.06],[0.],[0.],[1.37],[-0.59],[-0.22],[0.49],[1.63],[2.18],[2.68],[3.15],[-32.24],[0.],[0.03],[0.],[-20.34],[-12.41],[1.4],[0.46],[-13.04],[-13.18],[-22.47],[-23.58],[18.33],[13.57],[-18.16],[-19.14],[-2762.],[82261.],[209.],[963.],[-45899.],[-53023.],[-984.],[-402.]
23,[32.3645637],[42.64948368],[0.],[0.],[-0.11],[-0.03],[0.03],[-0.01],[0.47],[0.02],[0.],[0.01],[0.18],[-0.],[0.],[0.],[-0.08],[-0.06],[0.],[0.],[-1.35],[-0.41],[-1.14],[0.6],[1.63],[5.45],[2.68],[2.72],[-21.31],[0.],[-0.1],[0.],[-20.34],[-10.86],[-0.31],[0.39],[-13.04],[-13.16],[-22.47],[-23.57],[18.33],[13.9],[-18.16],[-18.38],[-2762.],[82261.],[212.],[963.],[-45899.],[-53780.],[-984.],[-386.]
24,[32.42550206],[42.64948368],[0.],[0.],[0.07],[0.02],[-0.04],[-0.02],[-1.43],[-0.],[0.],[-0.01],[0.22],[-0.],[0.],[0.],[-0.08],[-0.02],[0.],[0.],[-1.35],[-0.43],[4.02],[1.1],[1.63],[1.03],[1.73],[1.17],[-7.9],[0.],[0.15],[0.],[-38.61],[-6.12],[-0.77],[0.05],[-13.04],[-13.11],[-22.47],[-23.53],[18.33],[13.96],[-18.16],[-17.74],[-2762.],[82261.],[214.],[963.],[-45899.],[-54421.],[-984.],[-359.]
25,[32.48726416],[42.64948368],[0.],[0.],[0.07],[0.01],[-0.03],[-0.],[1.46],[-0.],[-0.05],[-0.03],[0.12],[-0.],[0.],[0.],[-0.08],[0.04],[0.],[0.],[-1.35],[-0.83],[6.04],[0.76],[1.63],[1.15],[-3.64],[-0.61],[-0.42],[0.],[-0.16],[-0.03],[10.7],[-1.48],[-1.98],[0.11],[-13.04],[-13.05],[-22.47],[-23.52],[18.33],[14.03],[-18.16],[-17.56],[-2762.],[82281.],[217.],[961.],[-45899.],[-54782.],[-984.],[-316.]
26,[32.54814601],[42.64948368],[0.],[0.],[-0.02],[0.],[-0.04],[0.],[-0.88],[-0.04],[-0.02],[-0.03],[-0.02],[-0.01],[0.],[0.],[-0.08],[0.06],[0.],[-0.01],[-1.77],[-1.51],[3.44],[0.93],[1.63],[0.07],[-6.96],[1.94],[-1.77],[0.],[-0.24],[-0.03],[-22.67],[-4.88],[-1.63],[0.03],[-13.04],[-13.07],[-22.47],[-23.61],[18.33],[14.03],[-18.16],[-17.64],[-2762.],[82388.],[220.],[959.],[-45899.],[-54872.],[-984.],[-295.]
27,[32.61005449],[42.64948368],[0.],[0.],[-0.02],[-0.],[0.09],[0.02],[-0.22],[-0.02],[-0.09],[-0.03],[-0.05],[-0.01],[0.],[0.],[-0.08],[0.05],[0.],[-0.],[-8.39],[-2.17],[1.75],[1.77],[1.63],[-0.81],[11.35],[5.31],[-4.62],[0.],[-0.79],[-0.02],[-18.16],[-8.43],[-2.],[0.03],[-13.04],[-13.13],[-22.47],[-23.72],[18.33],[13.98],[-18.16],[-17.84],[-2762.],[82415.],[224.],[958.],[-45899.],[-55165.],[-984.],[-285.]
28,[32.67081356],[42.64948368],[0.],[0.],[-0.02],[-0.01],[-0.08],[-0.01],[0.1],[0.01],[-0.05],[-0.03],[0.01],[-0.],[0.],[-0.],[-0.27],[0.01],[0.],[-0.],[-4.08],[-2.17],[1.75],[1.44],[1.63],[-1.17],[11.35],[8.86],[-4.07],[0.],[-1.16],[-0.05],[-18.16],[-9.81],[-0.25],[0.05],[-13.04],[-13.19],[-22.47],[-23.77],[18.33],[13.91],[-18.16],[-17.98],[-2762.],[82429.],[224.],[955.],[-45899.],[-55679.],[-984.],[-280.]
29,[32.73258185],[42.64948368],[0.],[0.],[-0.02],[-0.01],[0.01],[0.01],[-0.01],[0.],[0.3],[0.04],[0.01],[-0.],[0.],[0.],[0.33],[0.],[0.],[-0.],[0.39],[0.34],[1.75],[1.43],[1.63],[2.06],[15.89],[12.81],[-5.35],[0.],[-0.27],[-0.05],[-18.16],[-7.37],[0.21],[0.27],[-13.04],[-13.22],[-22.47],[-23.72],[18.33],[14.04],[-18.16],[-18.05],[-2762.],[82456.],[228.],[955.],[-45899.],[-56258.],[-984.],[-277.]
30,[32.79441905],[42.64948368],[0.],[0.],[-0.02],[-0.01],[-0.03],[-0.01],[-0.01],[-0.],[0.07],[0.06],[0.01],[-0.],[0.],[0.],[-0.3],[-0.02],[0.],[-0.],[0.39],[0.86],[1.75],[0.95],[1.63],[3.79],[13.29],[12.81],[-6.94],[0.],[-0.19],[0.],[50.21],[-3.95],[1.37],[0.45],[-13.04],[-13.08],[-22.47],[-23.58],[18.33],[14.26],[-18.16],[-18.09],[-2762.],[82461.],[228.],[958.],[-45899.],[-56693.],[-984.],[-277.]
31,[32.85539722],[42.64948368],[0.],[0.],[0.04],[0.04],[-0.03],[-0.03],[-0.01],[-0.01],[0.07],[0.06],[0.01],[-0.],[0.],[-0.],[0.81],[-0.08],[0.],[-0.],[0.39],[0.91],[-0.49],[-0.19],[1.63],[3.5],[24.31],[10.71],[-4.51],[0.],[0.15],[0.05],[17.35],[-1.],[-2.7],[0.45],[-13.04],[-12.96],[-22.47],[-23.45],[18.33],[14.47],[-18.16],[-18.15],[-2762.],[82466.],[228.],[959.],[-45899.],[-56934.],[-984.],[-277.]
32,[32.91712284],[42.64948368],[0.],[0.],[0.03],[0.04],[0.02],[-0.],[0.05],[0.04],[0.07],[0.07],[0.01],[-0.],[0.],[0.],[-0.53],[-0.05],[0.],[-0.],[0.39],[-0.19],[-0.49],[-0.31],[1.63],[2.06],[-1.48],[3.11],[-4.32],[0.],[0.12],[0.02],[26.6],[-0.2],[0.69],[0.72],[-13.04],[-12.69],[-22.47],[-23.37],[18.33],[14.59],[-18.16],[-18.27],[-2762.],[82469.],[232.],[962.],[-45899.],[-56995.],[-984.],[-260.]
33,[32.97809529],[42.64948368],[0.],[0.],[0.02],[0.01],[0.02],[0.02],[0.08],[0.04],[-0.04],[-0.03],[0.01],[-0.],[0.],[0.],[0.07],[0.03],[0.],[0.],[-1.1],[-1.07],[-0.49],[-0.13],[0.28],[-0.95],[-1.48],[-1.38],[-1.97],[0.],[0.12],[0.05],[51.23],[-0.1],[1.35],[0.72],[-13.04],[-12.42],[-22.47],[-23.42],[18.33],[14.54],[-18.16],[-18.2],[-2762.],[82475.],[231.],[969.],[-45899.],[-57007.],[-984.],[-240.]
34,[33.03976464],[42.64948368],[0.],[0.],[0.02],[0.],[0.02],[0.03],[-0.02],[-0.02],[0.17],[-0.03],[0.01],[-0.],[0.],[0.],[0.07],[0.06],[0.],[0.],[-1.1],[-1.05],[-0.49],[0.96],[-1.5],[-0.95],[-1.48],[-3.28],[-0.56],[0.],[0.12],[0.11],[47.85],[-1.25],[0.15],[0.35],[-13.04],[-11.95],[-22.47],[-23.44],[18.33],[14.15],[-18.16],[-17.8],[-2762.],[82517.],[232.],[979.],[-45899.],[-57013.],[-984.],[-220.]
35,[33.10074091],[42.64948368],[0.],[0.],[0.02],[-0.02],[0.06],[0.03],[-0.05],[-0.02],[-0.41],[-0.13],[0.01],[-0.],[0.],[-0.],[1.12],[0.06],[0.],[-0.],[-1.1],[-0.41],[-0.49],[0.25],[-2.55],[-0.95],[-1.48],[-2.35],[0.],[0.],[0.27],[0.17],[57.07],[-5.95],[0.15],[0.16],[-13.04],[-11.76],[-22.47],[-23.75],[18.33],[13.93],[-18.16],[-18.17],[-2762.],[82521.],[232.],[986.],[-45899.],[-57087.],[-984.],[-215.]
36,[33.1624639],[42.64948368],[0.],[0.],[0.02],[-0.01],[-0.04],[-0.01],[0.11],[0.06],[-0.01],[-0.07],[0.01],[-0.],[0.],[-0.],[-0.53],[0.],[0.],[0.],[1.09],[2.33],[-0.49],[0.66],[-4.78],[-0.95],[-1.48],[-1.15],[-0.26],[0.33],[0.34],[0.17],[41.07],[-9.03],[0.15],[0.08],[-13.04],[-11.84],[-22.47],[-23.91],[18.33],[13.79],[-18.16],[-18.53],[-2762.],[82524.],[234.],[989.],[-45899.],[-57444.],[-984.],[-205.]
37,[33.22327113],[42.64948368],[0.],[0.],[0.02],[0.],[-0.04],[-0.01],[0.18],[0.06],[-0.11],[-0.07],[0.01],[-0.],[0.],[-0.],[0.15],[0.],[0.],[-0.],[2.94],[2.05],[-0.49],[0.09],[-2.53],[-0.95],[-1.48],[-0.66],[-1.24],[1.78],[0.27],[0.17],[21.14],[-7.45],[0.15],[0.05],[-13.04],[-12.06],[-22.47],[-23.83],[18.33],[13.7],[-18.16],[-18.78],[-2762.],[82571.],[237.],[987.],[-45899.],[-57986.],[-984.],[-204.]
38,[33.28515601],[42.64948368],[0.],[0.],[0.02],[0.01],[-0.04],[-0.03],[-0.02],[0.06],[-0.07],[-0.07],[0.01],[-0.],[0.],[0.],[0.4],[0.],[0.],[0.],[4.3],[4.53],[-0.49],[-1.52],[-6.38],[-6.41],[-1.48],[-0.97],[-0.08],[0.44],[0.11],[0.12],[16.23],[-3.66],[0.15],[0.],[-13.04],[-12.3],[-22.47],[-23.73],[18.33],[13.82],[-18.16],[-18.85],[-2762.],[83072.],[237.],[985.],[-45899.],[-58433.],[-984.],[-199.]
39,[33.34600592],[42.64948368],[0.],[0.],[0.02],[0.05],[0.01],[0.],[0.16],[0.06],[-0.07],[-0.03],[0.01],[0.02],[0.],[-0.],[-0.06],[-0.04],[0.],[-0.],[5.16],[4.53],[-0.49],[-1.77],[-5.72],[-6.41],[-1.85],[-1.9],[-1.98],[0.23],[0.11],[0.05],[18.23],[-0.18],[0.15],[0.],[-13.04],[-12.48],[-22.47],[-23.7],[18.33],[14.01],[-18.16],[-18.81],[-2762.],[83563.],[235.],[978.],[-45899.],[-58656.],[-984.],[-200.]
40,[33.40791988],[42.64948368],[0.],[0.],[0.02],[-0.],[-0.08],[-0.08],[-0.19],[-0.07],[0.07],[0.02],[-0.02],[-0.02],[0.],[0.],[-0.06],[-0.1],[0.],[0.],[4.13],[4.41],[-0.49],[-0.85],[-16.78],[-6.41],[-1.85],[1.09],[-7.9],[0.44],[0.21],[-0.03],[15.34],[0.],[0.32],[0.28],[-13.04],[-12.57],[-22.47],[-23.67],[18.33],[14.14],[-18.16],[-18.66],[-2762.],[83967.],[237.],[975.],[-45899.],[-58667.],[-984.],[-201.]
41,[33.46964598],[42.64948368],[0.],[0.],[0.02],[0.04],[0.03],[0.04],[-0.32],[-0.07],[0.04],[0.02],[-0.03],[-0.],[0.],[0.],[-0.06],[-0.12],[0.],[0.],[5.82],[7.77],[-0.49],[0.84],[-24.],[-6.41],[-1.85],[6.61],[-7.25],[0.09],[0.13],[-0.03],[9.63],[-0.09],[0.32],[0.33],[-13.04],[-12.91],[-22.47],[-23.67],[18.33],[14.54],[-18.16],[-18.33],[-2762.],[84332.],[236.],[975.],[-45899.],[-58667.],[-984.],[-201.]
42,[33.53048325],[42.64948368],[0.],[0.],[0.02],[-0.],[0.04],[0.04],[-0.01],[0.],[0.04],[0.01],[0.04],[0.],[0.],[0.],[-0.06],[-0.11],[0.],[0.],[3.64],[3.24],[4.76],[2.44],[-20.13],[-6.41],[-8.59],[-6.15],[-1.84],[0.08],[-0.21],[-0.12],[5.83],[-2.23],[0.21],[0.33],[-13.04],[-13.23],[-22.47],[-23.65],[18.33],[15.2],[-17.66],[-17.88],[-2762.],[84434.],[236.],[966.],[-45899.],[-58672.],[-984.],[-201.]
43,[33.59229016],[42.64948368],[0.],[0.],[0.02],[0.06],[0.04],[0.07],[-0.01],[-0.02],[0.04],[-0.01],[0.],[-0.01],[0.],[0.],[0.15],[0.18],[0.],[0.],[2.5],[3.24],[-0.24],[2.11],[-6.74],[-6.41],[-12.95],[-6.15],[-0.02],[0.05],[0.08],[-0.05],[-18.87],[-8.21],[-0.48],[0.08],[-13.56],[-13.37],[-22.47],[-23.57],[18.33],[16.39],[-17.66],[-17.57],[-2762.],[84557.],[236.],[964.],[-45899.],[-58806.],[-984.],[-209.]
44,[33.65326691],[42.64948368],[0.],[0.],[0.02],[-0.08],[0.01],[0.],[-0.01],[-0.01],[0.04],[-0.02],[0.],[-0.],[0.],[0.],[0.15],[0.15],[0.],[0.],[1.06],[3.24],[-0.24],[1.32],[-28.87],[-6.41],[-8.39],[-6.15],[0.],[0.1],[0.05],[0.],[-18.87],[-15.41],[0.54],[0.16],[-13.56],[-13.37],[-22.47],[-23.42],[18.33],[17.65],[-17.34],[-17.45],[-2762.],[84895.],[235.],[965.],[-45899.],[-59307.],[-984.],[-216.]
